№,F1,Precision,Recall,TP,FP,TN,FN
06,0.83,0.8,0.87,2336,461,79858,437
15,0.58,0.63,0.53,1728,766,78576,2022
20,0.74,0.72,0.76,928,259,81516,389
27,0.59,0.58,0.6,3520,1837,74006,3729
28,0.71,0.71,0.7,2176,678,78997,1241
29,0.57,0.67,0.5,512,179,81661,740
30,0.65,0.74,0.58,2172,565,78383,1972
31,0.44,0.62,0.34,511,204,80922,1455
34,0.6,0.64,0.57,1361,567,79681,1483
36,0.83,0.76,0.91,1080,286,81597,129
37,0.78,0.73,0.85,907,269,81711,205
38,0.67,0.58,0.78,620,346,81900,226
39,0.68,0.69,0.67,866,279,81411,536
41,0.75,0.74,0.75,2645,701,78636,1110
44,0.52,0.57,0.48,310,193,82107,482
47,0.6,0.58,0.63,1107,591,80546,848
50,0.69,0.67,0.7,3793,1438,75744,2117
52,0.87,0.94,0.81,7481,322,73254,2035
53,0.77,0.83,0.72,1132,155,81266,539
55,0.86,0.78,0.95,688,154,82205,45
60,0.67,0.65,0.69,3979,1640,75017,2456
61,0.79,0.75,0.85,675,176,82098,143
62,0.87,0.83,0.91,10848,1846,68873,1525
64,0.76,0.74,0.79,5940,1672,73306,2174
65,0.71,0.71,0.71,1029,314,81163,586
68,0.76,0.77,0.76,2813,682,78418,1179
70,0.82,0.82,0.81,1744,289,80547,512
73,0.69,0.65,0.74,1442,560,80433,657
76,0.76,0.72,0.81,2634,757,78928,773
81,0.54,0.58,0.5,1307,727,78992,2066
82,0.31,0.51,0.22,129,81,82149,733
90,0.87,0.85,0.88,1606,226,81006,254
