№,F1,Precision,Recall,TP,FP,TN,FN
06,0.7,0.84,0.6,1653,317,80002,1120
15,0.46,0.74,0.34,1261,434,78908,2489
20,0.72,0.73,0.71,941,350,81425,376
27,0.49,0.63,0.4,2928,1734,74109,4321
28,0.63,0.82,0.52,1761,391,79284,1656
29,0.49,0.64,0.4,495,275,81565,757
30,0.58,0.77,0.47,1943,596,78352,2201
31,0.46,0.65,0.35,690,370,80756,1276
34,0.59,0.63,0.55,1568,904,79344,1276
36,0.82,0.86,0.78,945,153,81730,264
37,0.77,0.75,0.78,872,283,81697,240
38,0.65,0.57,0.76,646,486,81760,200
39,0.64,0.79,0.53,749,200,81490,653
41,0.75,0.77,0.73,2755,829,78508,1000
44,0.5,0.55,0.45,359,294,82006,433
47,0.54,0.62,0.49,950,583,80554,1005
50,0.55,0.7,0.45,2665,1120,76062,3245
52,0.86,0.95,0.79,7471,365,73211,2045
53,0.78,0.83,0.74,1235,245,81176,436
55,0.86,0.81,0.92,676,156,82203,57
60,0.63,0.69,0.58,3741,1720,74937,2694
61,0.79,0.76,0.83,682,220,82054,136
62,0.86,0.86,0.86,10665,1797,68922,1708
64,0.75,0.76,0.74,6032,1905,73073,2082
65,0.62,0.76,0.53,857,272,81205,758
68,0.74,0.8,0.69,2771,702,78398,1221
70,0.8,0.83,0.78,1761,368,80468,495
73,0.63,0.82,0.52,1082,240,80753,1017
76,0.75,0.78,0.71,2435,670,79015,972
81,0.23,0.57,0.15,496,370,79349,2877
82,0.11,0.5,0.06,52,51,82179,810
90,0.82,0.9,0.75,1395,160,81072,465
