№,F1
06.35,0.7
06.39,0.0
06.51,0.85
06.52,0.66
06.54,0.82
06.71,0.72
06.73,0.78
06.75,0.98
15.21,0.6
15.31,0.81
15.41,0.8
15.81,0.7
19.51,0.82
20.01,0.61
20.23,0.59
20.53,0.65
27.17,0.6
27.25,0.58
27.29,0.68
27.35,0.4
27.39,0.33
27.43,0.64
27.45,0.8
27.47,0.73
28.15,0.63
28.17,0.29
28.23,0.48
28.25,0.2
29.05,0.77
29.15,0.85
29.17,0.56
29.19,0.77
29.27,0.78
29.31,0.72
29.33,0.86
29.35,0.89
29.37,0.74
30.15,0.71
30.17,0.65
30.19,0.63
30.51,0.55
31.01,0.81
31.15,0.69
31.17,0.81
31.19,0.8
31.21,0.74
31.23,0.75
31.25,0.72
34.03,0.82
34.15,0.77
34.19,0.69
34.23,0.86
34.25,0.85
34.27,0.73
34.29,0.7
34.31,0.76
34.33,0.92
34.35,0.84
34.39,0.78
34.41,0.71
34.43,0.81
34.45,0.69
34.47,0.84
34.49,0.68
36.16,0.89
36.23,0.6
36.29,0.0
37.15,0.61
37.21,0.67
37.23,0.75
37.25,0.79
37.27,0.83
37.31,0.84
38.33,0.68
38.35,0.96
38.37,0.66
38.49,0.78
38.53,0.85
38.55,0.0
38.57,0.83
38.59,0.91
38.61,0.78
38.63,0.67
39.01,0.96
39.19,0.72
39.21,0.0
39.23,0.69
39.25,0.73
41.03,0.83
41.17,0.62
41.19,0.91
41.21,0.86
41.23,0.87
41.25,0.0
41.27,0.92
41.29,0.78
41.51,0.63
44.01,0.8
44.09,0.69
44.29,0.78
44.31,0.73
44.33,0.89
44.35,0.9
44.37,0.91
44.39,0.88
44.41,0.74
45.09,0.96
45.29,0.85
45.31,0.8
45.37,0.77
45.41,0.88
45.51,0.94
45.53,0.91
47.05,0.49
47.09,0.33
47.33,0.69
47.35,0.78
47.45,0.83
47.49,0.62
47.51,0.66
49.03,0.58
49.33,0.44
49.43,0.63
49.44,0.74
50.01,1.0
50.05,0.46
50.07,0.41
50.09,0.43
50.33,0.36
50.41,0.41
50.49,0.32
52.01,0.6
52.13,0.71
52.45,0.77
52.47,0.79
53.01,0.52
53.03,1.0
53.07,0.45
53.31,0.72
53.37,0.81
53.39,0.84
53.41,0.0
53.43,0.78
53.49,0.77
55.03,0.6
55.09,0.67
55.15,0.9
55.16,1.0
55.19,0.71
55.22,0.62
55.29,0.74
55.30,0.83
55.31,0.81
55.33,0.0
55.37,0.79
55.39,0.6
55.41,0.83
55.42,0.73
55.43,0.82
55.45,0.85
55.47,0.8
55.49,0.74
55.51,0.77
55.53,0.85
55.57,0.85
55.63,0.6
60.29,0.84
61.01,0.5
61.13,0.5
61.31,0.36
61.35,0.82
61.37,0.84
61.41,0.94
61.45,0.76
61.49,0.68
61.51,0.78
61.53,0.79
61.57,0.66
61.61,0.59
61.65,0.85
62.01,0.36
62.13,1.0
62.37,0.0
62.61,0.0
62.99,0.5
64.29,0.76
65.01,0.76
65.33,0.85
65.59,0.79
65.63,0.7
67.25,0.0
68.01,0.82
68.03,0.68
68.05,0.72
68.35,0.73
68.37,0.82
68.47,0.87
70.17,0.0
70.25,0.29
70.27,0.61
73.01,0.88
73.29,0.88
73.31,0.82
73.34,0.86
73.37,0.9
73.39,0.85
73.41,0.77
73.43,0.9
73.47,0.77
75.31,0.6
76.03,0.52
76.29,0.81
76.31,0.81
76.33,0.83
76.35,0.94
81.33,0.78
81.35,0.79
81.79,0.83
81.92,0.91
81.93,0.75
82.13,0.82
82.15,0.76
82.17,0.93
87.01,0.77
87.03,0.64
87.15,0.0
87.17,0.58
87.19,0.68
87.21,0.67
87.25,0.38
87.26,0.73
87.31,0.78
87.33,0.74
87.51,0.0
87.53,0.81
89.01,0.78
89.15,0.0
89.17,0.94
89.23,0.9
89.25,0.79
89.29,0.95
89.51,0.62
89.53,0.99
89.57,0.76
90.01,0.91
90.27,0.49
