№,F1
44.37,0.91
45.51,0.88
44.33,0.87
60.29,0.86
45.41,0.82
44.39,0.82
81.33,0.82
68.01,0.78
34.33,0.78
55.30,0.77
82.15,0.77
82.13,0.77
34.25,0.75
82.17,0.75
64.29,0.74
06.54,0.73
29.19,0.73
89.29,0.72
73.39,0.72
89.57,0.72
81.92,0.71
73.01,0.7
44.29,0.7
37.31,0.69
44.35,0.69
55.45,0.69
41.21,0.69
70.25,0.69
49.44,0.69
06.73,0.69
73.37,0.69
34.39,0.68
73.29,0.68
73.43,0.68
89.51,0.68
55.43,0.68
27.45,0.68
55.47,0.67
68.47,0.67
73.31,0.66
81.79,0.66
47.35,0.66
41.19,0.65
73.34,0.65
29.05,0.65
87.53,0.64
44.31,0.64
65.33,0.64
34.03,0.63
45.53,0.63
49.43,0.63
76.29,0.63
34.15,0.62
34.35,0.62
34.23,0.61
31.19,0.61
45.37,0.61
15.81,0.61
41.27,0.61
34.47,0.6
68.05,0.6
68.35,0.6
45.29,0.59
55.49,0.59
53.49,0.59
55.29,0.59
31.21,0.58
38.53,0.58
38.49,0.57
55.42,0.57
06.71,0.57
55.57,0.57
41.23,0.57
52.47,0.57
29.27,0.56
87.03,0.56
81.35,0.55
73.41,0.55
44.01,0.54
68.37,0.54
53.31,0.54
89.25,0.54
89.53,0.54
39.19,0.54
30.17,0.53
47.51,0.53
87.21,0.53
38.59,0.52
55.31,0.52
61.35,0.52
70.27,0.52
06.51,0.52
76.31,0.52
47.45,0.52
68.03,0.51
31.15,0.51
41.29,0.51
28.15,0.51
41.17,0.5
15.41,0.5
30.19,0.5
20.01,0.49
89.17,0.49
65.01,0.49
65.59,0.49
76.03,0.48
90.27,0.48
61.51,0.47
15.31,0.47
55.19,0.47
37.25,0.47
47.33,0.47
76.35,0.47
45.09,0.47
20.23,0.47
28.23,0.46
87.19,0.46
06.52,0.46
34.27,0.46
87.31,0.46
34.29,0.46
37.23,0.45
55.15,0.45
30.15,0.45
38.63,0.45
61.57,0.45
38.33,0.44
52.13,0.44
39.23,0.44
41.03,0.44
37.21,0.43
55.41,0.43
36.23,0.43
29.31,0.42
31.25,0.42
73.47,0.42
55.51,0.41
61.61,0.41
65.63,0.4
38.37,0.4
15.21,0.39
49.03,0.39
89.23,0.39
38.61,0.38
39.25,0.38
52.45,0.38
53.37,0.38
55.03,0.38
34.31,0.37
81.93,0.37
55.37,0.36
53.39,0.36
47.49,0.35
34.45,0.35
61.01,0.34
38.57,0.34
87.17,0.34
29.15,0.34
38.35,0.33
61.53,0.33
37.15,0.33
44.09,0.33
53.01,0.32
30.51,0.32
36.16,0.32
34.43,0.32
55.39,0.31
31.23,0.31
52.01,0.31
55.33,0.3
29.37,0.3
47.05,0.29
27.17,0.29
27.35,0.28
39.01,0.27
55.53,0.27
62.61,0.27
50.41,0.27
36.29,0.26
53.43,0.26
47.09,0.25
27.39,0.25
49.33,0.25
06.75,0.24
55.22,0.24
90.01,0.23
27.43,0.23
61.45,0.22
31.01,0.22
89.01,0.22
27.47,0.22
20.53,0.22
55.63,0.22
89.15,0.21
41.51,0.21
06.35,0.2
55.09,0.2
34.19,0.2
87.33,0.19
45.31,0.19
62.01,0.18
44.41,0.18
50.07,0.16
34.41,0.16
62.13,0.15
50.49,0.14
37.27,0.12
61.37,0.11
38.55,0.11
61.41,0.1
50.05,0.1
27.25,0.1
53.07,0.1
28.25,0.1
62.37,0.09
87.25,0.08
34.49,0.08
76.33,0.06
06.39,0.06
62.99,0.05
28.17,0.05
55.16,0.05
61.49,0.05
61.31,0.05
29.35,0.05
53.03,0.05
29.33,0.05
50.33,0.04
27.29,0.04
87.01,0.04
61.13,0.03
87.26,0.02
53.41,0.02
50.09,0.02
50.01,0.02
87.15,0.01
87.51,0.01
41.25,0.0
29.17,0.0
19.51,0.0
61.65,0.0
75.31,0.0
70.17,0.0
39.21,0.0
31.17,0.0
67.25,0.0
