№,F1
20.53,1.0
87.01,1.0
62.13,1.0
36.29,1.0
38.35,1.0
38.55,1.0
89.53,1.0
89.01,1.0
44.37,0.95
45.51,0.95
53.01,0.95
89.29,0.94
76.35,0.94
73.01,0.94
81.92,0.93
73.43,0.92
28.15,0.92
81.33,0.91
41.27,0.91
55.53,0.9
45.41,0.9
44.35,0.9
73.37,0.89
44.33,0.89
38.59,0.89
82.13,0.89
37.31,0.88
55.33,0.88
87.53,0.87
73.39,0.87
34.25,0.87
60.29,0.87
76.31,0.87
65.33,0.87
44.39,0.87
68.47,0.87
45.29,0.86
29.37,0.86
34.33,0.86
55.30,0.86
36.16,0.86
68.01,0.85
31.01,0.85
06.51,0.85
87.31,0.85
34.23,0.84
41.21,0.84
39.01,0.83
73.29,0.83
89.23,0.83
55.31,0.83
55.45,0.83
55.16,0.83
15.41,0.82
73.31,0.82
29.15,0.82
76.29,0.81
39.19,0.81
55.37,0.81
41.23,0.81
45.53,0.81
73.41,0.81
55.49,0.8
55.57,0.8
41.19,0.8
53.41,0.8
31.19,0.8
34.47,0.8
30.15,0.8
44.29,0.8
37.25,0.8
87.33,0.8
39.25,0.8
82.15,0.8
34.35,0.79
34.43,0.79
73.34,0.79
44.01,0.79
34.03,0.79
55.41,0.79
81.79,0.79
41.03,0.79
38.49,0.78
64.29,0.78
52.47,0.77
29.05,0.77
61.53,0.77
89.57,0.77
29.19,0.77
34.39,0.77
55.43,0.77
89.25,0.77
55.15,0.77
34.31,0.76
55.47,0.76
44.41,0.76
65.59,0.76
29.27,0.76
41.29,0.76
38.57,0.76
52.45,0.75
89.51,0.75
45.31,0.75
55.63,0.75
61.35,0.75
81.93,0.74
68.03,0.74
37.23,0.74
39.23,0.74
06.54,0.74
38.53,0.74
47.51,0.73
34.15,0.73
44.31,0.73
87.21,0.73
53.37,0.73
06.73,0.73
81.35,0.72
47.45,0.72
73.47,0.72
68.37,0.72
82.17,0.72
53.43,0.71
49.44,0.71
62.61,0.71
52.13,0.7
34.27,0.7
47.35,0.7
34.41,0.7
38.63,0.7
55.42,0.7
53.31,0.7
45.09,0.7
55.29,0.69
68.35,0.69
87.19,0.69
61.57,0.69
45.37,0.69
68.05,0.68
47.49,0.68
38.61,0.68
55.19,0.67
70.27,0.67
62.37,0.67
61.51,0.67
37.15,0.67
30.17,0.67
30.19,0.67
41.51,0.67
06.71,0.67
87.17,0.67
31.25,0.66
47.33,0.66
55.51,0.66
15.81,0.65
53.49,0.65
44.09,0.65
49.43,0.65
31.23,0.64
55.22,0.63
90.27,0.63
76.03,0.63
31.15,0.63
29.17,0.62
61.41,0.62
34.29,0.62
65.01,0.62
87.03,0.62
55.03,0.61
62.99,0.6
52.01,0.6
06.52,0.6
27.17,0.6
31.21,0.6
27.45,0.59
47.05,0.59
28.23,0.59
20.01,0.59
29.31,0.59
29.35,0.57
61.01,0.57
38.37,0.57
20.23,0.57
34.49,0.57
37.21,0.56
37.27,0.56
15.21,0.56
70.25,0.56
61.45,0.55
65.63,0.55
30.51,0.54
41.17,0.54
47.09,0.52
36.23,0.52
38.33,0.51
87.25,0.5
62.01,0.5
55.39,0.5
34.19,0.5
50.49,0.49
61.61,0.46
34.45,0.46
27.43,0.45
90.01,0.44
06.35,0.44
61.31,0.43
55.09,0.41
27.47,0.41
76.33,0.4
06.75,0.4
61.37,0.39
53.39,0.38
49.03,0.37
53.07,0.36
50.41,0.36
27.39,0.32
27.35,0.31
50.07,0.27
50.09,0.23
61.49,0.23
50.33,0.17
49.33,0.15
50.05,0.11
87.51,0.0
41.25,0.0
19.51,0.0
06.39,0.0
27.25,0.0
87.26,0.0
28.25,0.0
27.29,0.0
53.03,0.0
28.17,0.0
29.33,0.0
31.17,0.0
75.31,0.0
87.15,0.0
61.13,0.0
67.25,0.0
70.17,0.0
61.65,0.0
89.15,0.0
50.01,0.0
15.31,0.0
39.21,0.0
89.17,0.0
