№,F1
06.35,0.44
06.39,0.0
06.51,0.85
06.52,0.6
06.54,0.74
06.71,0.67
06.73,0.73
06.75,0.4
15.21,0.56
15.31,0.0
15.41,0.82
15.81,0.65
19.51,0.0
20.01,0.59
20.23,0.57
20.53,1.0
27.17,0.6
27.25,0.0
27.29,0.0
27.35,0.31
27.39,0.32
27.43,0.45
27.45,0.59
27.47,0.41
28.15,0.92
28.17,0.0
28.23,0.59
28.25,0.0
29.05,0.77
29.15,0.82
29.17,0.62
29.19,0.77
29.27,0.76
29.31,0.59
29.33,0.0
29.35,0.57
29.37,0.86
30.15,0.8
30.17,0.67
30.19,0.67
30.51,0.54
31.01,0.85
31.15,0.63
31.17,0.0
31.19,0.8
31.21,0.6
31.23,0.64
31.25,0.66
34.03,0.79
34.15,0.73
34.19,0.5
34.23,0.84
34.25,0.87
34.27,0.7
34.29,0.62
34.31,0.76
34.33,0.86
34.35,0.79
34.39,0.77
34.41,0.7
34.43,0.79
34.45,0.46
34.47,0.8
34.49,0.57
36.16,0.86
36.23,0.52
36.29,1.0
37.15,0.67
37.21,0.56
37.23,0.74
37.25,0.8
37.27,0.56
37.31,0.88
38.33,0.51
38.35,1.0
38.37,0.57
38.49,0.78
38.53,0.74
38.55,1.0
38.57,0.76
38.59,0.89
38.61,0.68
38.63,0.7
39.01,0.83
39.19,0.81
39.21,0.0
39.23,0.74
39.25,0.8
41.03,0.79
41.17,0.54
41.19,0.8
41.21,0.84
41.23,0.81
41.25,0.0
41.27,0.91
41.29,0.76
41.51,0.67
44.01,0.79
44.09,0.65
44.29,0.8
44.31,0.73
44.33,0.89
44.35,0.9
44.37,0.95
44.39,0.87
44.41,0.76
45.09,0.7
45.29,0.86
45.31,0.75
45.37,0.69
45.41,0.9
45.51,0.95
45.53,0.81
47.05,0.59
47.09,0.52
47.33,0.66
47.35,0.7
47.45,0.72
47.49,0.68
47.51,0.73
49.03,0.37
49.33,0.15
49.43,0.65
49.44,0.71
50.01,0.0
50.05,0.11
50.07,0.27
50.09,0.23
50.33,0.17
50.41,0.36
50.49,0.49
52.01,0.6
52.13,0.7
52.45,0.75
52.47,0.77
53.01,0.95
53.03,0.0
53.07,0.36
53.31,0.7
53.37,0.73
53.39,0.38
53.41,0.8
53.43,0.71
53.49,0.65
55.03,0.61
55.09,0.41
55.15,0.77
55.16,0.83
55.19,0.67
55.22,0.63
55.29,0.69
55.30,0.86
55.31,0.83
55.33,0.88
55.37,0.81
55.39,0.5
55.41,0.79
55.42,0.7
55.43,0.77
55.45,0.83
55.47,0.76
55.49,0.8
55.51,0.66
55.53,0.9
55.57,0.8
55.63,0.75
60.29,0.87
61.01,0.57
61.13,0.0
61.31,0.43
61.35,0.75
61.37,0.39
61.41,0.62
61.45,0.55
61.49,0.23
61.51,0.67
61.53,0.77
61.57,0.69
61.61,0.46
61.65,0.0
62.01,0.5
62.13,1.0
62.37,0.67
62.61,0.71
62.99,0.6
64.29,0.78
65.01,0.62
65.33,0.87
65.59,0.76
65.63,0.55
67.25,0.0
68.01,0.85
68.03,0.74
68.05,0.68
68.35,0.69
68.37,0.72
68.47,0.87
70.17,0.0
70.25,0.56
70.27,0.67
73.01,0.94
73.29,0.83
73.31,0.82
73.34,0.79
73.37,0.89
73.39,0.87
73.41,0.81
73.43,0.92
73.47,0.72
75.31,0.0
76.03,0.63
76.29,0.81
76.31,0.87
76.33,0.4
76.35,0.94
81.33,0.91
81.35,0.72
81.79,0.79
81.92,0.93
81.93,0.74
82.13,0.89
82.15,0.8
82.17,0.72
87.01,1.0
87.03,0.62
87.15,0.0
87.17,0.67
87.19,0.69
87.21,0.73
87.25,0.5
87.26,0.0
87.31,0.85
87.33,0.8
87.51,0.0
87.53,0.87
89.01,1.0
89.15,0.0
89.17,0.0
89.23,0.83
89.25,0.77
89.29,0.94
89.51,0.75
89.53,1.0
89.57,0.77
90.01,0.44
90.27,0.63
