№,TP,FP,TN,FN
06,3797,346,161408,632
15,1253,129,164718,83
20,1471,369,164058,285
27,2688,383,162413,699
28,1606,716,162842,1019
29,16887,677,146309,2310
30,2719,942,161363,1159
31,13411,3355,146514,2903
34,22483,2049,139199,2452
36,824,347,164569,443
37,1949,434,162988,812
38,4900,1253,158098,1932
39,3465,1108,158316,3294
41,3422,352,162107,302
44,6517,1315,157360,991
45,2278,456,163056,393
47,4255,1169,159306,1453
49,2039,285,163606,253
50,2241,724,161475,1743
52,4205,1579,157067,3332
53,5835,1207,156809,2332
55,9591,2331,151028,3233
60,944,142,164989,108
61,8846,3468,148495,5374
62,617,431,164090,1045
64,893,146,165064,80
65,1477,301,164222,183
68,2588,590,162382,623
70,2226,426,163308,223
73,6049,1014,157324,1796
76,3040,695,161234,1214
81,5561,647,158812,1163
82,1416,140,164603,24
87,8413,2646,151631,3493
89,4778,894,159755,756
90,992,419,164191,581
