№,TP,FP,TN,FN
06,3714,288,161466,715
15,1230,122,164725,106
20,1435,362,164065,321
27,2675,402,162394,712
28,1355,622,162936,1270
29,15933,454,146532,3264
30,2083,514,161791,1795
31,12785,2664,147205,3529
34,21421,1585,139663,3514
36,447,124,164792,820
37,1637,276,163146,1124
38,3737,446,158905,3095
39,1303,310,159114,5456
41,2897,216,162243,827
44,6381,1065,157610,1127
45,2161,375,163137,510
47,3864,1059,159416,1844
49,1978,271,163620,314
50,2042,567,161632,1942
52,2738,711,157935,4799
53,4806,915,157101,3361
55,8409,1606,151753,4415
60,934,142,164989,118
61,6534,2119,149844,7686
62,280,86,164435,1382
64,882,122,165088,91
65,1477,338,164185,183
68,2328,440,162532,883
70,1969,244,163490,480
73,5668,761,157577,2177
76,2345,258,161671,1909
81,5167,523,158936,1557
82,1405,112,164631,35
87,5513,1412,152865,6393
89,3377,370,160279,2157
90,943,449,164161,630
