№,Precision
06.35,0.61
06.39,0.0
06.51,0.51
06.52,0.4
06.54,0.67
06.71,0.5
06.73,0.68
06.75,0.74
15.21,0.31
15.31,0.35
15.41,0.43
15.81,0.47
19.51,0.41
20.01,0.43
20.23,0.41
20.53,0.23
27.17,0.35
27.25,0.33
27.29,0.4
27.35,0.25
27.39,0.2
27.43,0.51
27.45,0.69
27.47,0.6
28.15,0.5
28.17,0.0
28.23,0.43
28.25,0.0
29.05,0.61
29.15,0.53
29.17,0.0
29.19,0.53
29.27,0.55
29.31,0.5
29.33,0.47
29.35,0.74
29.37,0.65
30.15,0.5
30.17,0.51
30.19,0.44
30.51,0.2
31.01,0.76
31.15,0.48
31.17,0.63
31.19,0.66
31.21,0.54
31.23,0.58
31.25,0.48
34.03,0.58
34.15,0.56
34.19,0.38
34.23,0.53
34.25,0.66
34.27,0.58
34.29,0.5
34.31,0.44
34.33,0.77
34.35,0.62
34.39,0.55
34.41,0.2
34.43,0.56
34.45,0.42
34.47,0.61
34.49,0.37
36.16,0.31
36.23,0.3
36.29,0.24
37.15,0.36
37.21,0.39
37.23,0.49
37.25,0.59
37.27,0.53
37.31,0.69
38.33,0.43
38.35,0.64
38.37,0.41
38.49,0.52
38.53,0.61
38.55,0.45
38.57,0.52
38.59,0.59
38.61,0.52
38.63,0.47
39.01,0.81
39.19,0.55
39.21,0.0
39.23,0.44
39.25,0.49
41.03,0.54
41.17,0.5
41.19,0.62
41.21,0.64
41.23,0.47
41.25,0.42
41.27,0.48
41.29,0.57
41.51,0.52
44.01,0.52
44.09,0.37
44.29,0.57
44.31,0.54
44.33,0.76
44.35,0.81
44.37,0.81
44.39,0.7
44.41,0.35
45.09,0.6
45.29,0.69
45.31,0.75
45.37,0.63
45.41,0.75
45.51,0.87
45.53,0.75
47.05,0.44
47.09,0.25
47.33,0.49
47.35,0.62
47.45,0.71
47.49,0.35
47.51,0.47
49.03,0.41
49.33,0.48
49.43,0.46
49.44,0.57
50.01,0.5
50.05,0.45
50.07,0.25
50.09,0.4
50.33,0.29
50.41,0.25
50.49,0.43
52.01,0.43
52.13,0.48
52.45,0.41
52.47,0.58
53.01,0.43
53.03,0.69
53.07,0.34
53.31,0.55
53.37,0.49
53.39,0.68
53.41,0.21
53.43,0.39
53.49,0.53
55.03,0.47
55.09,0.5
55.15,0.73
55.16,0.35
55.19,0.43
55.22,0.5
55.29,0.56
55.30,0.72
55.31,0.52
55.33,0.53
55.37,0.53
55.39,0.49
55.41,0.61
55.42,0.51
55.43,0.62
55.45,0.67
55.47,0.56
55.49,0.5
55.51,0.49
55.53,0.49
55.57,0.74
55.63,0.32
60.29,0.71
61.01,0.41
61.13,0.45
61.31,0.26
61.35,0.54
61.37,0.5
61.41,0.64
61.45,0.51
61.49,0.55
61.51,0.56
61.53,0.61
61.57,0.56
61.61,0.38
61.65,0.52
62.01,0.31
62.13,0.57
62.37,0.4
62.61,0.25
62.99,0.53
64.29,0.61
65.01,0.56
65.33,0.64
65.59,0.55
65.63,0.46
67.25,0.43
68.01,0.72
68.03,0.42
68.05,0.48
68.35,0.53
68.37,0.49
68.47,0.65
70.17,0.0
70.25,0.49
70.27,0.47
73.01,0.61
73.29,0.65
73.31,0.58
73.34,0.63
73.37,0.62
73.39,0.7
73.41,0.59
73.43,0.71
73.47,0.43
75.31,0.38
76.03,0.43
76.29,0.6
76.31,0.56
76.33,0.68
76.35,0.84
81.33,0.46
81.35,0.52
81.79,0.66
81.92,0.78
81.93,0.54
82.13,0.64
82.15,0.62
82.17,0.74
87.01,0.48
87.03,0.47
87.15,0.0
87.17,0.36
87.19,0.48
87.21,0.42
87.25,0.33
87.26,0.24
87.31,0.48
87.33,0.37
87.51,0.25
87.53,0.63
89.01,0.39
89.15,0.58
89.17,0.5
89.23,0.48
89.25,0.51
89.29,0.61
89.51,0.49
89.53,0.52
89.57,0.58
90.01,0.0
90.27,0.39
