№,Recall
06.35,0.05
06.39,0.0
06.51,0.67
06.52,0.6
06.54,0.84
06.71,0.67
06.73,0.87
06.75,0.55
15.21,0.59
15.31,0.73
15.41,0.79
15.81,0.75
19.51,0.67
20.01,0.7
20.23,0.6
20.53,0.04
27.17,0.64
27.25,0.4
27.29,0.3
27.35,0.19
27.39,0.46
27.43,0.19
27.45,0.81
27.47,0.06
28.15,0.61
28.17,0.0
28.23,0.48
28.25,0.0
29.05,0.79
29.15,0.43
29.17,0.0
29.19,0.9
29.27,0.56
29.31,0.57
29.33,0.22
29.35,0.26
29.37,0.25
30.15,0.44
30.17,0.55
30.19,0.5
30.51,0.07
31.01,0.2
31.15,0.71
31.17,0.31
31.19,0.83
31.21,0.88
31.23,0.54
31.25,0.65
34.03,0.72
34.15,0.76
34.19,0.19
34.23,0.66
34.25,0.87
34.27,0.54
34.29,0.56
34.31,0.17
34.33,0.9
34.35,0.73
34.39,0.85
34.41,0.17
34.43,0.23
34.45,0.32
34.47,0.7
34.49,0.14
36.16,0.19
36.23,0.26
36.29,0.15
37.15,0.47
37.21,0.56
37.23,0.59
37.25,0.52
37.27,0.25
37.31,0.69
38.33,0.6
38.35,0.41
38.37,0.6
38.49,0.8
38.53,0.63
38.55,0.27
38.57,0.36
38.59,0.76
38.61,0.34
38.63,0.56
39.01,0.23
39.19,0.81
39.21,0.0
39.23,0.42
39.25,0.53
41.03,0.6
41.17,0.5
41.19,0.82
41.21,0.86
41.23,0.83
41.25,0.04
41.27,0.9
41.29,0.73
41.51,0.11
44.01,0.67
44.09,0.46
44.29,0.85
44.31,0.71
44.33,0.97
44.35,0.71
44.37,0.99
44.39,0.98
44.41,0.31
45.09,0.46
45.29,0.65
45.31,0.03
45.37,0.93
45.41,0.93
45.51,0.89
45.53,0.51
47.05,0.21
47.09,0.12
47.33,0.53
47.35,0.86
47.45,0.64
47.49,0.35
47.51,0.73
49.03,0.23
49.33,0.12
49.43,0.79
49.44,0.87
50.01,0.0
50.05,0.03
50.07,0.13
50.09,0.01
50.33,0.02
50.41,0.17
50.49,0.05
52.01,0.31
52.13,0.6
52.45,0.4
52.47,0.77
53.01,0.13
53.03,0.15
53.07,0.04
53.31,0.63
53.37,0.38
53.39,0.55
53.41,0.02
53.43,0.29
53.49,0.8
55.03,0.27
55.09,0.05
55.15,0.45
55.16,0.03
55.19,0.6
55.22,0.39
55.29,0.78
55.30,0.82
55.31,0.75
55.33,0.11
55.37,0.35
55.39,0.24
55.41,0.74
55.42,0.64
55.43,0.82
55.45,0.73
55.47,0.77
55.49,0.78
55.51,0.46
55.53,0.37
55.57,0.63
55.63,0.32
60.29,0.83
61.01,0.24
61.13,0.05
61.31,0.05
61.35,0.68
61.37,0.01
61.41,0.2
61.45,0.61
61.49,0.32
61.51,0.41
61.53,0.64
61.57,0.45
61.61,0.57
61.65,0.17
62.01,0.04
62.13,0.13
62.37,0.01
62.61,0.02
62.99,0.17
64.29,0.87
65.01,0.74
65.33,0.97
65.59,0.88
65.63,0.9
67.25,0.64
68.01,0.89
68.03,0.45
68.05,0.77
68.35,0.82
68.37,0.56
68.47,0.74
70.17,0.0
70.25,0.86
70.27,0.45
73.01,0.86
73.29,0.78
73.31,0.76
73.34,0.75
73.37,0.79
73.39,0.79
73.41,0.57
73.43,0.79
73.47,0.55
75.31,0.3
76.03,0.61
76.29,0.77
76.31,0.61
76.33,0.23
76.35,0.72
81.33,0.67
81.35,0.63
81.79,0.98
81.92,0.84
81.93,0.47
82.13,0.86
82.15,0.86
82.17,0.89
87.01,0.17
87.03,0.73
87.15,0.0
87.17,0.47
87.19,0.7
87.21,0.69
87.25,0.21
87.26,0.05
87.31,0.77
87.33,0.26
87.51,0.01
87.53,0.77
89.01,0.37
89.15,0.6
89.17,0.6
89.23,0.58
89.25,0.76
89.29,0.89
89.51,0.89
89.53,0.67
89.57,0.81
90.01,0.0
90.27,0.27
