№,TP,FP,TN,FN
06.35,0,0,165790,393
06.39,0,0,165959,224
06.51,162,85,165703,233
06.52,153,158,165449,423
06.54,249,17,165793,124
06.71,550,235,164482,916
06.73,312,86,165663,122
06.75,84,11,165879,209
15.21,49,62,165806,266
15.31,81,43,165920,139
15.41,190,131,165700,162
15.81,370,347,165139,327
19.51,126,97,165848,112
20.01,353,301,165159,370
20.23,91,46,165680,366
20.53,0,0,165979,204
27.17,13,4,165911,255
27.25,4,5,165975,199
27.29,0,0,165972,211
27.35,2,3,165813,365
27.39,2,11,165918,252
27.43,3,0,165923,257
27.45,251,36,165817,79
27.47,2,0,165796,385
28.15,58,20,165973,132
28.17,0,0,165848,335
28.23,133,63,164706,1281
28.25,0,0,165865,318
29.05,1311,353,163507,1012
29.15,118,27,164136,1902
29.17,0,0,165387,796
29.19,6411,2324,155605,1843
29.27,364,99,164142,1578
29.31,553,259,163993,1378
29.33,27,4,165441,711
29.35,41,4,165541,597
29.37,30,7,165653,493
30.15,44,36,165773,330
30.17,289,126,165122,646
30.19,441,241,164243,1258
30.51,7,7,165328,841
31.01,26,1,165857,299
31.15,2758,1670,157141,4614
31.17,24,6,165507,646
31.19,1640,384,163555,604
31.21,1922,903,162741,617
31.23,196,25,164973,989
31.25,712,446,163822,1203
34.03,129,51,165904,99
34.15,1000,351,164029,803
34.19,2,4,165877,300
34.23,962,300,163695,1226
34.25,1325,402,164043,413
34.27,637,238,163854,1454
34.29,228,92,165154,709
34.31,1,2,165879,301
34.33,4055,721,160562,845
34.35,643,162,164756,622
34.39,3699,1318,159133,2033
34.41,7,17,166002,157
34.43,7,0,165096,1080
34.45,39,19,165149,976
34.47,1460,305,163066,1352
34.49,5,8,165172,998
36.16,9,8,165733,433
36.23,22,42,165585,534
36.29,3,7,165951,222
37.15,57,53,165827,246
37.21,74,65,165792,252
37.23,61,35,165939,148
37.25,73,16,165894,200
37.27,21,6,165982,174
37.31,732,144,164643,664
38.33,105,80,165651,347
38.35,31,0,165993,159
38.37,32,34,165958,159
38.49,377,150,165349,307
38.53,275,41,165143,724
38.55,8,3,165798,374
38.57,118,27,165300,738
38.59,303,84,165547,249
38.61,31,20,165781,351
38.63,321,120,164360,1382
39.01,21,0,165997,165
39.19,1475,586,162737,1385
39.21,0,0,165979,204
39.23,328,118,163953,1784
39.25,418,206,164553,1006
41.03,71,8,165997,107
41.17,80,55,165598,450
41.19,390,79,165407,307
41.21,353,57,165632,141
41.23,369,174,165150,490
41.25,0,0,165955,228
41.27,410,108,165444,221
41.29,220,51,165717,195
41.51,7,0,165898,278
44.01,168,33,165719,263
44.09,67,67,165579,470
44.29,1396,411,163866,510
44.31,1036,452,163684,1011
44.33,1151,187,164776,69
44.35,198,26,165808,151
44.37,247,25,165899,12
44.39,280,62,165818,23
44.41,64,66,165596,457
45.09,56,5,165959,163
45.29,114,19,165868,182
45.31,0,0,165977,206
45.37,247,54,165795,87
45.41,383,56,165684,60
45.51,401,25,165676,81
45.53,66,8,165731,378
47.05,0,1,165795,387
47.09,8,20,165417,738
47.33,229,121,165245,588
47.35,795,280,164902,206
47.45,363,79,165380,361
47.49,29,45,165466,643
47.51,236,170,165522,255
49.03,7,5,165867,304
49.33,0,0,165965,218
49.43,341,210,165319,313
49.44,501,230,165261,191
50.01,0,0,165919,264
50.05,0,0,165820,363
50.07,0,0,165636,547
50.09,0,0,165637,546
50.33,0,0,165878,305
50.41,0,0,165343,840
50.49,0,0,165756,427
52.01,106,37,165082,958
52.13,840,362,163418,1563
52.45,258,97,163813,2015
52.47,1149,503,163698,833
53.01,1,0,165627,555
53.03,3,0,165987,193
53.07,0,1,165634,548
53.31,318,138,165097,630
53.37,194,90,164724,1175
53.39,137,8,165153,885
53.41,0,0,165668,515
53.43,3,7,165454,719
53.49,1673,638,162894,978
55.03,21,5,165465,692
55.09,0,0,165745,438
55.15,48,10,165907,218
55.16,0,0,165964,219
55.19,77,59,165859,188
55.22,11,4,165966,202
55.29,347,140,165485,211
55.30,715,158,165078,232
55.31,75,22,165996,90
55.33,5,2,165892,284
55.37,23,6,165817,337
55.39,42,11,164274,1856
55.41,233,101,165627,222
55.42,262,149,165281,491
55.43,551,173,165196,263
55.45,321,97,165540,225
55.47,459,181,165259,284
55.49,386,249,165258,290
55.51,36,32,165830,285
55.53,10,3,165783,387
55.57,225,20,165604,334
55.63,10,18,165805,350
60.29,783,177,164954,269
61.01,57,22,164058,2046
61.13,3,0,165721,459
61.31,0,7,165034,1142
61.35,980,247,163769,1187
61.37,0,0,165633,550
61.41,7,0,165895,281
61.45,340,115,164799,929
61.49,13,5,165799,366
61.51,182,46,164979,976
61.53,593,185,164744,661
61.57,127,45,165572,439
61.61,322,288,163960,1613
61.65,8,6,166010,159
62.01,1,0,165766,416
62.13,0,1,166025,157
62.37,0,0,165969,214
62.61,0,0,166019,164
62.99,7,1,165897,278
64.29,588,216,165231,148
65.01,177,40,165849,117
65.33,162,49,165945,27
65.59,203,52,165845,83
65.63,181,45,165872,85
67.25,72,38,165936,137
68.01,225,71,165838,49
68.03,143,66,165273,701
68.05,155,76,165801,151
68.35,547,249,165105,282
68.37,82,20,165590,491
68.47,189,51,165726,217
70.17,0,0,165962,221
70.25,1228,941,163655,359
70.27,99,58,165517,509
73.01,150,35,165937,61
73.29,1307,373,163907,596
73.31,1328,478,163395,982
73.34,343,88,165520,232
73.37,379,97,165536,171
73.39,594,156,165162,271
73.41,227,94,165444,418
73.43,434,91,165428,230
73.47,135,111,165495,442
75.31,24,11,165915,233
76.03,549,324,164418,892
76.29,655,258,164349,921
76.31,186,60,165234,703
76.33,8,1,166000,174
76.35,160,18,165896,109
81.33,1363,391,161976,2453
81.35,789,167,164156,1071
81.79,304,118,165743,18
81.92,484,79,165481,139
81.93,178,80,165461,464
82.13,146,39,165937,61
82.15,775,215,164944,249
82.17,130,28,165983,42
87.01,0,1,165657,525
87.03,2448,1819,159556,2360
87.15,0,0,165818,365
87.17,40,49,165847,247
87.19,562,335,164350,936
87.21,136,98,165595,354
87.25,19,17,165539,608
87.26,1,3,165805,374
87.31,83,48,165964,88
87.33,32,41,165666,444
87.51,0,0,165946,237
87.53,3778,1210,159041,2154
89.01,30,20,165974,159
89.15,113,27,165797,246
89.17,113,28,165897,145
89.23,61,18,165947,157
89.25,377,218,165232,356
89.29,368,82,165620,113
89.51,676,446,164385,676
89.53,80,24,165932,147
89.57,1756,691,162783,953
90.01,0,0,165922,261
90.27,75,69,164965,1074
