№,F1
06.35,0.22
06.39,0.01
06.51,0.57
06.52,0.4
06.54,0.59
06.71,0.48
06.73,0.69
06.75,0.53
15.21,0.35
15.31,0.49
15.41,0.57
15.81,0.54
19.51,0.37
20.01,0.48
20.23,0.42
20.53,0.24
27.17,0.4
27.25,0.39
27.29,0.42
27.35,0.28
27.39,0.26
27.43,0.39
27.45,0.66
27.47,0.24
28.15,0.48
28.17,0.03
28.23,0.4
28.25,0.1
29.05,0.64
29.15,0.52
29.17,0.14
29.19,0.59
29.27,0.46
29.31,0.47
29.33,0.33
29.35,0.42
29.37,0.47
30.15,0.44
30.17,0.46
30.19,0.42
30.51,0.21
31.01,0.39
31.15,0.5
31.17,0.36
31.19,0.67
31.21,0.62
31.23,0.51
31.25,0.52
34.03,0.6
34.15,0.6
34.19,0.33
34.23,0.55
34.25,0.74
34.27,0.53
34.29,0.43
34.31,0.33
34.33,0.84
34.35,0.6
34.39,0.62
34.41,0.25
34.43,0.42
34.45,0.39
34.47,0.61
34.49,0.26
36.16,0.2
36.23,0.32
36.29,0.13
37.15,0.4
37.21,0.46
37.23,0.54
37.25,0.59
37.27,0.36
37.31,0.65
38.33,0.5
38.35,0.56
38.37,0.49
38.49,0.65
38.53,0.62
38.55,0.18
38.57,0.46
38.59,0.66
38.61,0.38
38.63,0.48
39.01,0.32
39.19,0.58
39.21,0.0
39.23,0.4
39.25,0.41
41.03,0.54
41.17,0.46
41.19,0.7
41.21,0.74
41.23,0.64
41.25,0.01
41.27,0.72
41.29,0.64
41.51,0.2
44.01,0.51
44.09,0.41
44.29,0.56
44.31,0.51
44.33,0.84
44.35,0.74
44.37,0.85
44.39,0.74
44.41,0.39
45.09,0.48
45.29,0.63
45.31,0.24
45.37,0.55
45.41,0.79
45.51,0.85
45.53,0.48
47.05,0.29
47.09,0.13
47.33,0.45
47.35,0.68
47.45,0.6
47.49,0.33
47.51,0.54
49.03,0.35
49.33,0.21
49.43,0.5
49.44,0.63
50.01,0.02
50.05,0.29
50.07,0.28
50.09,0.17
50.33,0.2
50.41,0.29
50.49,0.17
52.01,0.27
52.13,0.5
52.45,0.35
52.47,0.62
53.01,0.31
53.03,0.22
53.07,0.13
53.31,0.58
53.37,0.44
53.39,0.59
53.41,0.0
53.43,0.34
53.49,0.61
55.03,0.4
55.09,0.06
55.15,0.6
55.16,0.1
55.19,0.52
55.22,0.29
55.29,0.56
55.30,0.7
55.31,0.56
55.33,0.16
55.37,0.46
55.39,0.33
55.41,0.51
55.42,0.53
55.43,0.61
55.45,0.68
55.47,0.59
55.49,0.6
55.51,0.51
55.53,0.44
55.57,0.64
55.63,0.39
60.29,0.71
61.01,0.19
61.13,0.18
61.31,0.17
61.35,0.61
61.37,0.16
61.41,0.37
61.45,0.54
61.49,0.41
61.51,0.5
61.53,0.61
61.57,0.46
61.61,0.41
61.65,0.29
62.01,0.07
62.13,0.23
62.37,0.0
62.61,0.09
62.99,0.38
64.29,0.6
65.01,0.55
65.33,0.73
65.59,0.61
65.63,0.5
67.25,0.55
68.01,0.74
68.03,0.22
68.05,0.56
68.35,0.61
68.37,0.42
68.47,0.69
70.17,0.0
70.25,0.61
70.27,0.22
73.01,0.72
73.29,0.66
73.31,0.6
73.34,0.61
73.37,0.62
73.39,0.7
73.41,0.58
73.43,0.62
73.47,0.37
75.31,0.16
76.03,0.45
76.29,0.48
76.31,0.53
76.33,0.32
76.35,0.76
81.33,0.49
81.35,0.53
81.79,0.75
81.92,0.8
81.93,0.48
82.13,0.66
82.15,0.63
82.17,0.52
87.01,0.33
87.03,0.48
87.15,0.0
87.17,0.4
87.19,0.55
87.21,0.56
87.25,0.28
87.26,0.14
87.31,0.61
87.33,0.3
87.51,0.02
87.53,0.64
89.01,0.41
89.15,0.52
89.17,0.52
89.23,0.49
89.25,0.65
89.29,0.71
89.51,0.58
89.53,0.54
89.57,0.62
90.01,0.21
90.27,0.33
