№,Precision
06.35,0.29
06.39,0.04
06.51,0.49
06.52,0.27
06.54,0.44
06.71,0.36
06.73,0.56
06.75,0.46
15.21,0.37
15.31,0.52
15.41,0.46
15.81,0.4
19.51,0.24
20.01,0.34
20.23,0.29
20.53,0.28
27.17,0.26
27.25,0.3
27.29,0.32
27.35,0.2
27.39,0.16
27.43,0.34
27.45,0.53
27.47,0.35
28.15,0.37
28.17,0.1
28.23,0.27
28.25,0.13
29.05,0.5
29.15,0.46
29.17,0.17
29.19,0.43
29.27,0.33
29.31,0.34
29.33,0.26
29.35,0.46
29.37,0.44
30.15,0.46
30.17,0.36
30.19,0.34
30.51,0.22
31.01,0.52
31.15,0.35
31.17,0.37
31.19,0.54
31.21,0.46
31.23,0.38
31.25,0.4
34.03,0.55
34.15,0.48
34.19,0.35
34.23,0.44
34.25,0.64
34.27,0.5
34.29,0.44
34.31,0.44
34.33,0.77
34.35,0.58
34.39,0.47
34.41,0.29
34.43,0.47
34.45,0.33
34.47,0.49
34.49,0.25
36.16,0.39
36.23,0.33
36.29,0.49
37.15,0.36
37.21,0.38
37.23,0.48
37.25,0.53
37.27,0.57
37.31,0.6
38.33,0.39
38.35,0.75
38.37,0.39
38.49,0.54
38.53,0.51
38.55,0.52
38.57,0.54
38.59,0.55
38.61,0.51
38.63,0.39
39.01,0.73
39.19,0.44
39.21,0.0
39.23,0.31
39.25,0.46
41.03,0.64
41.17,0.57
41.19,0.61
41.21,0.65
41.23,0.56
41.25,1.0
41.27,0.65
41.29,0.63
41.51,0.48
44.01,0.38
44.09,0.33
44.29,0.4
44.31,0.37
44.33,0.74
44.35,0.71
44.37,0.74
44.39,0.59
44.41,0.34
45.09,0.66
45.29,0.54
45.31,0.28
45.37,0.38
45.41,0.67
45.51,0.8
45.53,0.49
47.05,0.25
47.09,0.29
47.33,0.36
47.35,0.55
47.45,0.51
47.49,0.31
47.51,0.41
49.03,0.26
49.33,0.24
49.43,0.37
49.44,0.48
50.01,0.09
50.05,0.32
50.07,0.2
50.09,0.16
50.33,0.22
50.41,0.2
50.49,0.14
52.01,0.27
52.13,0.42
52.45,0.44
52.47,0.49
53.01,0.42
53.03,0.76
53.07,0.25
53.31,0.51
53.37,0.53
53.39,0.59
53.41,0.0
53.43,0.37
53.49,0.48
55.03,0.33
55.09,0.52
55.15,0.71
55.16,0.55
55.19,0.42
55.22,0.43
55.29,0.43
55.30,0.58
55.31,0.42
55.33,0.57
55.37,0.44
55.39,0.25
55.41,0.39
55.42,0.42
55.43,0.47
55.45,0.58
55.47,0.46
55.49,0.5
55.51,0.45
55.53,0.4
55.57,0.55
55.63,0.27
60.29,0.6
61.01,0.31
61.13,0.37
61.31,0.21
61.35,0.53
61.37,0.32
61.41,0.71
61.45,0.42
61.49,0.45
61.51,0.44
61.53,0.58
61.57,0.42
61.61,0.3
61.65,0.63
62.01,0.19
62.13,0.34
62.37,0.0
62.61,0.38
62.99,0.49
64.29,0.45
65.01,0.43
65.33,0.58
65.59,0.46
65.63,0.34
67.25,0.52
68.01,0.62
68.03,0.34
68.05,0.42
68.35,0.47
68.37,0.31
68.47,0.64
70.17,0.0
70.25,0.54
70.27,0.33
73.01,0.64
73.29,0.58
73.31,0.47
73.34,0.49
73.37,0.49
73.39,0.61
73.41,0.5
73.43,0.49
73.47,0.27
75.31,0.36
76.03,0.4
76.29,0.34
76.31,0.39
76.33,0.71
76.35,0.8
81.33,0.37
81.35,0.45
81.79,0.62
81.92,0.74
81.93,0.41
82.13,0.51
82.15,0.47
82.17,0.36
87.01,0.46
87.03,0.42
87.15,0.0
87.17,0.35
87.19,0.44
87.21,0.43
87.25,0.28
87.26,0.32
87.31,0.54
87.33,0.36
87.51,0.67
87.53,0.55
89.01,0.51
89.15,0.57
89.17,0.69
89.23,0.77
89.25,0.54
89.29,0.6
89.51,0.46
89.53,0.61
89.57,0.51
90.01,0.39
90.27,0.24
