№,Recall
06.35,0.18
06.39,0.01
06.51,0.68
06.52,0.73
06.54,0.92
06.71,0.76
06.73,0.91
06.75,0.62
15.21,0.33
15.31,0.47
15.41,0.74
15.81,0.86
19.51,0.79
20.01,0.81
20.23,0.79
20.53,0.21
27.17,0.91
27.25,0.54
27.29,0.58
27.35,0.44
27.39,0.74
27.43,0.47
27.45,0.88
27.47,0.18
28.15,0.72
28.17,0.01
28.23,0.74
28.25,0.08
29.05,0.86
29.15,0.6
29.17,0.12
29.19,0.95
29.27,0.79
29.31,0.75
29.33,0.44
29.35,0.39
29.37,0.5
30.15,0.42
30.17,0.64
30.19,0.53
30.51,0.2
31.01,0.31
31.15,0.86
31.17,0.34
31.19,0.88
31.21,0.92
31.23,0.75
31.25,0.77
34.03,0.68
34.15,0.81
34.19,0.3
34.23,0.72
34.25,0.86
34.27,0.57
34.29,0.43
34.31,0.26
34.33,0.92
34.35,0.63
34.39,0.91
34.41,0.21
34.43,0.37
34.45,0.48
34.47,0.8
34.49,0.28
36.16,0.14
36.23,0.31
36.29,0.08
37.15,0.45
37.21,0.61
37.23,0.61
37.25,0.66
37.27,0.26
37.31,0.71
38.33,0.69
38.35,0.45
38.37,0.64
38.49,0.81
38.53,0.79
38.55,0.11
38.57,0.4
38.59,0.82
38.61,0.3
38.63,0.61
39.01,0.2
39.19,0.84
39.21,0.0
39.23,0.55
39.25,0.36
41.03,0.46
41.17,0.38
41.19,0.84
41.21,0.88
41.23,0.75
41.25,0.0
41.27,0.81
41.29,0.66
41.51,0.12
44.01,0.79
44.09,0.55
44.29,0.91
44.31,0.81
44.33,0.98
44.35,0.78
44.37,0.99
44.39,0.99
44.41,0.45
45.09,0.37
45.29,0.75
45.31,0.2
45.37,0.97
45.41,0.95
45.51,0.92
45.53,0.48
47.05,0.35
47.09,0.09
47.33,0.62
47.35,0.89
47.45,0.72
47.49,0.37
47.51,0.82
49.03,0.55
49.33,0.19
49.43,0.81
49.44,0.93
50.01,0.01
50.05,0.27
50.07,0.51
50.09,0.18
50.33,0.18
50.41,0.55
50.49,0.23
52.01,0.28
52.13,0.64
52.45,0.28
52.47,0.85
53.01,0.24
53.03,0.13
53.07,0.09
53.31,0.67
53.37,0.37
53.39,0.59
53.41,0.0
53.43,0.31
53.49,0.84
55.03,0.52
55.09,0.03
55.15,0.52
55.16,0.05
55.19,0.69
55.22,0.22
55.29,0.83
55.30,0.86
55.31,0.83
55.33,0.09
55.37,0.48
55.39,0.48
55.41,0.75
55.42,0.73
55.43,0.86
55.45,0.82
55.47,0.83
55.49,0.74
55.51,0.6
55.53,0.5
55.57,0.76
55.63,0.68
60.29,0.87
61.01,0.14
61.13,0.12
61.31,0.14
61.35,0.73
61.37,0.11
61.41,0.25
61.45,0.77
61.49,0.37
61.51,0.57
61.53,0.64
61.57,0.52
61.61,0.69
61.65,0.19
62.01,0.05
62.13,0.18
62.37,0.0
62.61,0.05
62.99,0.31
64.29,0.9
65.01,0.77
65.33,0.97
65.59,0.92
65.63,0.94
67.25,0.59
68.01,0.92
68.03,0.17
68.05,0.85
68.35,0.87
68.37,0.65
68.47,0.74
70.17,0.0
70.25,0.7
70.27,0.16
73.01,0.82
73.29,0.78
73.31,0.8
73.34,0.81
73.37,0.84
73.39,0.83
73.41,0.7
73.43,0.85
73.47,0.6
75.31,0.11
76.03,0.52
76.29,0.83
76.31,0.8
76.33,0.2
76.35,0.72
81.33,0.73
81.35,0.64
81.79,0.97
81.92,0.87
81.93,0.58
82.13,0.93
82.15,0.94
82.17,0.95
87.01,0.25
87.03,0.56
87.15,0.0
87.17,0.47
87.19,0.75
87.21,0.78
87.25,0.28
87.26,0.09
87.31,0.7
87.33,0.25
87.51,0.01
87.53,0.77
89.01,0.35
89.15,0.47
89.17,0.42
89.23,0.36
89.25,0.79
89.29,0.88
89.51,0.77
89.53,0.48
89.57,0.78
90.01,0.14
90.27,0.51
