№,TP,FP,TN,FN
06.35,69,172,165618,324
06.39,2,55,165904,222
06.51,269,277,165511,126
06.52,419,1121,164486,157
06.54,342,440,165370,31
06.71,1107,1998,162719,359
06.73,396,311,165438,38
06.75,182,216,165674,111
15.21,103,173,165695,212
15.31,103,95,165868,117
15.41,259,305,165526,93
15.81,597,902,164584,100
19.51,187,599,165346,51
20.01,584,1116,164344,139
20.23,360,884,164842,97
20.53,43,112,165867,161
27.17,244,693,165222,24
27.25,110,251,165729,93
27.29,122,254,165718,89
27.35,161,641,165175,206
27.39,188,982,164947,66
27.43,121,233,165690,139
27.45,292,264,165589,38
27.47,70,128,165668,317
28.15,136,236,165757,54
28.17,5,47,165801,330
28.23,1048,2833,161936,366
28.25,27,182,165683,291
29.05,2003,1965,161895,320
29.15,1202,1390,162773,818
29.17,96,474,164913,700
29.19,7815,10356,147573,439
29.27,1525,3124,161117,417
29.31,1442,2808,161444,489
29.33,323,900,164545,415
29.35,252,301,165244,386
29.37,263,329,165331,260
30.15,156,185,165624,218
30.17,597,1066,164182,338
30.19,894,1715,162769,805
30.51,172,600,164735,676
31.01,100,92,165766,225
31.15,6370,11809,147002,1002
31.17,231,398,165115,439
31.19,1969,1676,162263,275
31.21,2342,2698,160946,197
31.23,890,1423,163575,295
31.25,1483,2256,162012,432
34.03,154,128,165827,74
34.15,1456,1604,162776,347
34.19,92,170,165711,210
34.23,1579,2020,161975,609
34.25,1493,824,163621,245
34.27,1190,1211,162881,901
34.29,400,509,164737,537
34.31,80,102,165779,222
34.33,4489,1349,159934,411
34.35,796,585,164333,469
34.39,5227,5833,154618,505
34.41,35,85,165934,129
34.43,407,462,164634,680
34.45,486,972,164196,529
34.47,2251,2353,161018,561
34.49,278,837,164343,725
36.16,61,94,165647,381
36.23,170,343,165284,386
36.29,17,18,165940,208
37.15,135,241,165639,168
37.21,198,328,165529,128
37.23,127,136,165838,82
37.25,180,159,165751,93
37.27,51,39,165949,144
37.31,998,673,164114,398
38.33,311,483,165248,141
38.35,85,29,165964,105
38.37,122,189,165803,69
38.49,552,470,165029,132
38.53,785,765,164419,214
38.55,42,38,165763,340
38.57,346,300,165027,510
38.59,454,374,165257,98
38.61,115,111,165690,267
38.63,1039,1592,162888,664
39.01,38,14,165983,148
39.19,2398,3073,160250,462
39.21,0,1,165978,204
39.23,1158,2559,161512,954
39.25,516,608,164151,908
41.03,82,46,165959,96
41.17,204,156,165497,326
41.19,585,378,165108,112
41.21,435,239,165450,59
41.23,644,503,164821,215
41.25,1,0,165955,227
41.27,510,275,165277,121
41.29,273,161,165607,142
41.51,35,38,165860,250
44.01,342,561,165191,89
44.09,296,612,165034,241
44.29,1736,2607,161670,170
44.31,1656,2785,161351,391
44.33,1192,417,164546,28
44.35,271,112,165722,78
44.37,257,92,165832,2
44.39,300,208,165672,3
44.41,233,453,165209,288
45.09,82,43,165921,137
45.29,222,188,165699,74
45.31,42,107,165870,164
45.37,325,531,165318,9
45.41,423,208,165532,20
45.51,442,111,165590,40
45.53,213,222,165517,231
47.05,135,400,165396,252
47.09,65,161,165276,681
47.33,504,914,164452,313
47.35,895,729,164453,106
47.45,520,503,164956,204
47.49,247,558,164953,425
47.51,401,587,165105,90
49.03,172,496,165376,139
49.33,42,134,165831,176
49.43,530,918,164611,124
49.44,641,692,164799,51
50.01,3,30,165889,261
50.05,98,209,165611,265
50.07,279,1135,164501,268
50.09,100,516,165121,446
50.33,55,195,165683,250
50.41,465,1888,163455,375
50.49,98,596,165160,329
52.01,293,794,164325,771
52.13,1532,2144,161636,871
52.45,646,814,163096,1627
52.47,1690,1786,162415,292
53.01,136,187,165440,420
53.03,25,8,165979,171
53.07,49,146,165489,499
53.31,636,620,164615,312
53.37,508,456,164358,861
53.39,603,423,164738,419
53.41,0,0,165668,515
53.43,226,380,165081,496
53.49,2216,2449,161083,435
55.03,368,760,164710,345
55.09,13,12,165733,425
55.15,137,55,165862,129
55.16,12,10,165954,207
55.19,184,255,165663,81
55.22,46,62,165908,167
55.29,463,623,165002,95
55.30,818,586,164650,129
55.31,137,190,165828,28
