№,F1
06.35,0.2
06.39,0.06
06.51,0.52
06.52,0.46
06.54,0.73
06.71,0.57
06.73,0.69
06.75,0.24
15.21,0.39
15.31,0.47
15.41,0.5
15.81,0.61
19.51,0.0
20.01,0.49
20.23,0.47
20.53,0.22
27.17,0.29
27.25,0.1
27.29,0.04
27.35,0.28
27.39,0.25
27.43,0.23
27.45,0.68
27.47,0.22
28.15,0.51
28.17,0.05
28.23,0.46
28.25,0.1
29.05,0.65
29.15,0.34
29.17,0.0
29.19,0.73
29.27,0.56
29.31,0.42
29.33,0.05
29.35,0.05
29.37,0.3
30.15,0.45
30.17,0.53
30.19,0.5
30.51,0.32
31.01,0.22
31.15,0.51
31.17,0.0
31.19,0.61
31.21,0.58
31.23,0.31
31.25,0.42
34.03,0.63
34.15,0.62
34.19,0.2
34.23,0.61
34.25,0.75
34.27,0.46
34.29,0.46
34.31,0.37
34.33,0.78
34.35,0.62
34.39,0.68
34.41,0.16
34.43,0.32
34.45,0.35
34.47,0.6
34.49,0.08
36.16,0.32
36.23,0.43
36.29,0.26
37.15,0.33
37.21,0.43
37.23,0.45
37.25,0.47
37.27,0.12
37.31,0.69
38.33,0.44
38.35,0.33
38.37,0.4
38.49,0.57
38.53,0.58
38.55,0.11
38.57,0.34
38.59,0.52
38.61,0.38
38.63,0.45
39.01,0.27
39.19,0.54
39.21,0.0
39.23,0.44
39.25,0.38
41.03,0.44
41.17,0.5
41.19,0.65
41.21,0.69
41.23,0.57
41.25,0.0
41.27,0.61
41.29,0.51
41.51,0.21
44.01,0.54
44.09,0.33
44.29,0.7
44.31,0.64
44.33,0.87
44.35,0.69
44.37,0.91
44.39,0.82
44.41,0.18
45.09,0.47
45.29,0.59
45.31,0.19
45.37,0.61
45.41,0.82
45.51,0.88
45.53,0.63
47.05,0.29
47.09,0.25
47.33,0.47
47.35,0.66
47.45,0.52
47.49,0.35
47.51,0.53
49.03,0.39
49.33,0.25
49.43,0.63
49.44,0.69
50.01,0.02
50.05,0.1
50.07,0.16
50.09,0.02
50.33,0.04
50.41,0.27
50.49,0.14
52.01,0.31
52.13,0.44
52.45,0.38
52.47,0.57
53.01,0.32
53.03,0.05
53.07,0.1
53.31,0.54
53.37,0.38
53.39,0.36
53.41,0.02
53.43,0.26
53.49,0.59
55.03,0.38
55.09,0.2
55.15,0.45
55.16,0.05
55.19,0.47
55.22,0.24
55.29,0.59
55.30,0.77
55.31,0.52
55.33,0.3
55.37,0.36
55.39,0.31
55.41,0.43
55.42,0.57
55.43,0.68
55.45,0.69
55.47,0.67
55.49,0.59
55.51,0.41
55.53,0.27
55.57,0.57
55.63,0.22
60.29,0.86
61.01,0.34
61.13,0.03
61.31,0.05
61.35,0.52
61.37,0.11
61.41,0.1
61.45,0.22
61.49,0.05
61.51,0.47
61.53,0.33
61.57,0.45
61.61,0.41
61.65,0.0
62.01,0.18
62.13,0.15
62.37,0.09
62.61,0.27
62.99,0.05
64.29,0.74
65.01,0.49
65.33,0.64
65.59,0.49
65.63,0.4
67.25,0.0
68.01,0.78
68.03,0.51
68.05,0.6
68.35,0.6
68.37,0.54
68.47,0.67
70.17,0.0
70.25,0.69
70.27,0.52
73.01,0.7
73.29,0.68
73.31,0.66
73.34,0.65
73.37,0.69
73.39,0.72
73.41,0.55
73.43,0.68
73.47,0.42
75.31,0.0
76.03,0.48
76.29,0.63
76.31,0.52
76.33,0.06
76.35,0.47
81.33,0.82
81.35,0.55
81.79,0.66
81.92,0.71
81.93,0.37
82.13,0.77
82.15,0.77
82.17,0.75
87.01,0.04
87.03,0.56
87.15,0.01
87.17,0.34
87.19,0.46
87.21,0.53
87.25,0.08
87.26,0.02
87.31,0.46
87.33,0.19
87.51,0.01
87.53,0.64
89.01,0.22
89.15,0.21
89.17,0.49
89.23,0.39
89.25,0.54
89.29,0.72
89.51,0.68
89.53,0.54
89.57,0.72
90.01,0.23
90.27,0.48
