№,Precision
06.35,0.38
06.39,0.47
06.51,0.47
06.52,0.39
06.54,0.65
06.71,0.5
06.73,0.57
06.75,0.72
15.21,0.26
15.31,0.33
15.41,0.35
15.81,0.46
19.51,0.0
20.01,0.35
20.23,0.34
20.53,0.19
27.17,0.34
27.25,0.34
27.29,0.36
27.35,0.23
27.39,0.24
27.43,0.33
27.45,0.56
27.47,0.29
28.15,0.56
28.17,0.08
28.23,0.47
28.25,0.1
29.05,0.62
29.15,0.62
29.17,1.0
29.19,0.62
29.27,0.62
29.31,0.54
29.33,0.82
29.35,0.73
29.37,0.85
30.15,0.55
30.17,0.44
30.19,0.46
30.51,0.32
31.01,0.6
31.15,0.46
31.17,0.0
31.19,0.75
31.21,0.42
31.23,0.75
31.25,0.57
34.03,0.6
34.15,0.55
34.19,0.41
34.23,0.58
34.25,0.72
34.27,0.54
34.29,0.5
34.31,0.53
34.33,0.68
34.35,0.66
34.39,0.59
34.41,0.22
34.43,0.58
34.45,0.39
34.47,0.63
34.49,0.32
36.16,0.25
36.23,0.34
36.29,0.28
37.15,0.31
37.21,0.34
37.23,0.38
37.25,0.51
37.27,0.2
37.31,0.66
38.33,0.35
38.35,0.51
38.37,0.34
38.49,0.45
38.53,0.51
38.55,0.34
38.57,0.43
38.59,0.45
38.61,0.48
38.63,0.42
39.01,0.52
39.19,0.58
39.21,0.0
39.23,0.57
39.25,0.47
41.03,0.43
41.17,0.43
41.19,0.57
41.21,0.59
41.23,0.44
41.25,0.0
41.27,0.46
41.29,0.41
41.51,0.43
44.01,0.52
44.09,0.31
44.29,0.63
44.31,0.61
44.33,0.8
44.35,0.92
44.37,0.88
44.39,0.72
44.41,0.41
45.09,0.46
45.29,0.51
45.31,0.23
45.37,0.45
45.41,0.73
45.51,0.87
45.53,0.57
47.05,0.31
47.09,0.28
47.33,0.41
47.35,0.52
47.45,0.47
47.49,0.34
47.51,0.48
49.03,0.37
49.33,0.38
49.43,0.5
49.44,0.65
50.01,0.08
50.05,0.18
50.07,0.18
50.09,0.12
50.33,0.25
50.41,0.21
50.49,0.47
52.01,0.46
52.13,0.39
52.45,0.45
52.47,0.48
53.01,0.42
53.03,0.5
53.07,0.3
53.31,0.43
53.37,0.43
53.39,0.4
53.41,0.13
53.43,0.35
53.49,0.47
55.03,0.37
55.09,0.2
55.15,0.49
55.16,0.35
55.19,0.39
55.22,0.53
55.29,0.47
55.30,0.76
55.31,0.4
55.33,0.39
55.37,0.38
55.39,0.29
55.41,0.53
55.42,0.51
55.43,0.6
55.45,0.7
55.47,0.61
55.49,0.59
55.51,0.35
55.53,0.29
55.57,0.58
55.63,0.47
60.29,0.85
61.01,0.36
61.13,0.08
61.31,0.11
61.35,0.44
61.37,0.14
61.41,0.2
61.45,0.31
61.49,0.1
61.51,0.48
61.53,0.48
61.57,0.47
61.61,0.3
61.65,0.0
62.01,0.23
62.13,0.23
62.37,0.16
62.61,0.55
62.99,0.17
64.29,0.64
65.01,0.36
65.33,0.47
65.59,0.35
65.63,0.26
67.25,0.0
68.01,0.74
68.03,0.54
68.05,0.49
68.35,0.47
68.37,0.52
68.47,0.71
70.17,0.0
70.25,0.56
70.27,0.42
73.01,0.64
73.29,0.6
73.31,0.63
73.34,0.6
73.37,0.74
73.39,0.75
73.41,0.6
73.43,0.7
73.47,0.37
75.31,0.0
76.03,0.44
76.29,0.51
76.31,0.49
76.33,0.2
76.35,0.74
81.33,0.76
81.35,0.51
81.79,0.68
81.92,0.69
81.93,0.44
82.13,0.66
82.15,0.65
82.17,0.7
87.01,0.57
87.03,0.46
87.15,0.2
87.17,0.33
87.19,0.45
87.21,0.55
87.25,0.22
87.26,0.25
87.31,0.71
87.33,0.33
87.51,1.0
87.53,0.61
89.01,0.44
89.15,0.55
89.17,0.6
89.23,0.68
89.25,0.5
89.29,0.65
89.51,0.59
89.53,0.58
89.57,0.65
90.01,0.19
90.27,0.48
