№,Recall
06.35,0.13
06.39,0.03
06.51,0.59
06.52,0.57
06.54,0.82
06.71,0.66
06.73,0.86
06.75,0.15
15.21,0.77
15.31,0.88
15.41,0.86
15.81,0.88
19.51,0.0
20.01,0.82
20.23,0.77
20.53,0.27
27.17,0.26
27.25,0.06
27.29,0.02
27.35,0.37
27.39,0.26
27.43,0.18
27.45,0.85
27.47,0.18
28.15,0.46
28.17,0.04
28.23,0.44
28.25,0.1
29.05,0.68
29.15,0.24
29.17,0.0
29.19,0.89
29.27,0.51
29.31,0.35
29.33,0.02
29.35,0.03
29.37,0.18
30.15,0.38
30.17,0.65
30.19,0.55
30.51,0.31
31.01,0.14
31.15,0.57
31.17,0.0
31.19,0.51
31.21,0.91
31.23,0.2
31.25,0.33
34.03,0.66
34.15,0.71
34.19,0.14
34.23,0.64
34.25,0.8
34.27,0.4
34.29,0.43
34.31,0.28
34.33,0.9
34.35,0.59
34.39,0.81
34.41,0.13
34.43,0.22
34.45,0.31
34.47,0.58
34.49,0.05
36.16,0.45
36.23,0.59
36.29,0.24
37.15,0.36
37.21,0.58
37.23,0.55
37.25,0.43
37.27,0.08
37.31,0.72
38.33,0.6
38.35,0.24
38.37,0.5
38.49,0.78
38.53,0.69
38.55,0.07
38.57,0.28
38.59,0.62
38.61,0.31
38.63,0.49
39.01,0.18
39.19,0.51
39.21,0.0
39.23,0.36
39.25,0.32
41.03,0.44
41.17,0.6
41.19,0.77
41.21,0.83
41.23,0.82
41.25,0.0
41.27,0.89
41.29,0.66
41.51,0.14
44.01,0.56
44.09,0.35
44.29,0.79
44.31,0.68
44.33,0.95
44.35,0.55
44.37,0.95
44.39,0.96
44.41,0.12
45.09,0.47
45.29,0.69
45.31,0.16
45.37,0.93
45.41,0.94
45.51,0.89
45.53,0.72
47.05,0.27
47.09,0.23
47.33,0.56
47.35,0.9
47.45,0.58
47.49,0.35
47.51,0.6
49.03,0.42
49.33,0.19
49.43,0.87
49.44,0.74
50.01,0.01
50.05,0.07
50.07,0.15
50.09,0.01
50.33,0.02
50.41,0.35
50.49,0.08
52.01,0.23
52.13,0.52
52.45,0.34
52.47,0.71
53.01,0.25
53.03,0.03
53.07,0.06
53.31,0.7
53.37,0.35
53.39,0.34
53.41,0.01
53.43,0.21
53.49,0.81
55.03,0.39
55.09,0.19
55.15,0.42
55.16,0.03
55.19,0.59
55.22,0.15
55.29,0.77
55.30,0.79
55.31,0.72
55.33,0.25
55.37,0.34
55.39,0.32
55.41,0.36
55.42,0.66
55.43,0.79
55.45,0.68
55.47,0.75
55.49,0.59
55.51,0.51
55.53,0.25
55.57,0.57
55.63,0.15
60.29,0.87
61.01,0.33
61.13,0.02
61.31,0.04
61.35,0.65
61.37,0.08
61.41,0.07
61.45,0.17
61.49,0.03
61.51,0.46
61.53,0.25
61.57,0.42
61.61,0.64
61.65,0.0
62.01,0.15
62.13,0.11
62.37,0.07
62.61,0.18
62.99,0.03
64.29,0.88
65.01,0.77
65.33,0.97
65.59,0.81
65.63,0.91
67.25,0.0
68.01,0.83
68.03,0.49
68.05,0.78
68.35,0.83
68.37,0.55
68.47,0.63
70.17,0.0
70.25,0.9
70.27,0.71
73.01,0.78
73.29,0.79
73.31,0.69
73.34,0.69
73.37,0.64
73.39,0.7
73.41,0.5
73.43,0.66
73.47,0.49
75.31,0.0
76.03,0.52
76.29,0.83
76.31,0.56
76.33,0.03
76.35,0.35
81.33,0.89
81.35,0.6
81.79,0.64
81.92,0.72
81.93,0.32
82.13,0.91
82.15,0.96
82.17,0.81
87.01,0.02
87.03,0.73
87.15,0.0
87.17,0.35
87.19,0.47
87.21,0.51
87.25,0.05
87.26,0.01
87.31,0.34
87.33,0.13
87.51,0.0
87.53,0.68
89.01,0.15
89.15,0.13
89.17,0.42
89.23,0.27
89.25,0.59
89.29,0.81
89.51,0.8
89.53,0.5
89.57,0.81
90.01,0.28
90.27,0.48
