№,TP,FP,TN,FN
06.35,1,2,165788,392
06.39,0,0,165959,224
06.51,102,55,165733,293
06.52,156,158,165449,420
06.54,219,35,165775,154
06.71,840,458,164259,626
06.73,329,134,165615,105
06.75,3,1,165889,290
15.21,97,155,165713,218
15.31,97,64,165899,123
15.41,202,161,165670,150
15.81,588,671,164815,109
19.51,0,0,165945,238
20.01,585,932,164528,138
20.23,290,432,165294,167
20.53,28,99,165880,176
27.17,1,1,165914,267
27.25,0,0,165980,203
27.29,0,0,165972,211
27.35,68,92,165724,299
27.39,1,0,165929,253
27.43,1,0,165923,259
27.45,243,47,165806,87
27.47,46,108,165688,341
28.15,67,17,165976,123
28.17,2,17,165831,333
28.23,552,578,164191,862
28.25,3,42,165823,315
29.05,945,281,163579,1378
29.15,97,13,164150,1923
29.17,0,0,165387,796
29.19,6442,1698,156231,1812
29.27,498,85,164156,1444
29.31,173,61,164191,1758
29.33,0,0,165445,738
29.35,0,0,165545,638
29.37,66,5,165655,457
30.15,110,49,165760,264
30.17,423,379,164869,512
30.19,825,645,163839,874
30.51,81,156,165179,767
31.01,35,5,165853,290
31.15,2972,2951,155860,4400
31.17,0,0,165513,670
31.19,746,108,163831,1498
31.21,2157,1866,161778,382
31.23,7,0,164998,1178
31.25,234,57,164211,1681
34.03,114,55,165900,114
34.15,994,396,163984,809
34.19,3,4,165877,299
34.23,936,306,163689,1252
34.25,1143,291,164154,595
34.27,532,281,163811,1559
34.29,202,155,165091,735
34.31,28,16,165865,274
34.33,4134,1263,160020,766
34.35,495,117,164801,770
34.39,3966,1568,158883,1766
34.41,6,16,166003,158
34.43,20,5,165091,1067
34.45,88,74,165094,927
34.47,1291,362,163009,1521
34.49,5,1,165179,998
36.16,101,258,165483,341
36.23,242,424,165203,314
36.29,4,9,165949,221
37.15,76,118,165762,227
37.21,135,215,165642,191
37.23,64,71,165903,145
37.25,84,40,165870,189
37.27,9,21,165967,186
37.31,958,240,164547,438
38.33,150,151,165580,302
38.35,8,0,165993,182
38.37,13,28,165964,178
38.49,336,237,165262,348
38.53,442,183,165001,557
38.55,6,19,165782,376
38.57,66,26,165301,790
38.59,243,118,165513,309
38.61,77,62,165739,305
38.63,582,433,164047,1121
39.01,17,2,165995,169
39.19,1399,852,162471,1461
39.21,0,0,165979,204
39.23,743,509,163562,1369
39.25,427,356,164403,997
41.03,58,24,165981,120
41.17,229,257,165396,301
41.19,347,87,165399,350
41.21,371,81,165608,123
41.23,237,180,165144,622
41.25,0,0,165955,228
41.27,270,120,165432,361
41.29,196,198,165570,219
41.51,3,0,165898,282
44.01,152,61,165691,279
44.09,52,76,165570,485
44.29,1384,374,163903,522
44.31,1206,523,163613,841
44.33,1122,219,164744,98
44.35,170,12,165822,179
44.37,243,14,165910,16
44.39,273,53,165827,30
44.41,20,9,165653,501
45.09,95,62,165902,124
45.29,147,35,165852,149
45.31,7,8,165969,199
45.37,291,157,165692,43
45.41,382,52,165688,61
45.51,420,31,165670,62
45.53,243,55,165684,201
47.05,29,20,165776,358
47.09,92,142,165295,654
47.33,299,231,165135,518
47.35,848,461,164721,153
47.45,357,152,165307,367
47.49,163,239,165272,509
47.51,238,176,165516,253
49.03,75,71,165801,236
49.33,2,1,165964,216
49.43,496,361,165168,158
49.44,465,222,165269,227
50.01,0,3,165916,264
50.05,0,0,165820,363
50.07,4,26,165610,543
50.09,2,10,165627,544
50.33,0,0,165878,305
50.41,24,95,165248,816
50.49,4,4,165752,423
52.01,129,107,165012,935
52.13,1083,1149,162631,1320
52.45,647,548,163362,1626
52.47,1279,844,163357,703
53.01,42,14,165613,514
53.03,1,0,165987,195
53.07,5,13,165622,543
53.31,419,299,164936,529
53.37,394,327,164487,975
53.39,46,29,165132,976
53.41,6,12,165656,509
53.43,1,1,165460,721
53.49,1999,1612,161920,652
55.03,83,68,165402,630
55.09,34,64,165681,404
55.15,22,13,165904,244
55.16,0,0,165964,219
55.19,92,93,165825,173
55.22,11,4,165966,202
55.29,328,126,165499,230
55.30,706,139,165097,241
55.31,74,60,165958,91
55.33,36,44,165850,253
55.37,49,53,165770,311
55.39,213,352,163933,1685
55.41,149,75,165653,306
55.42,373,270,165160,380
55.43,597,284,165085,217
55.45,354,128,165509,192
55.47,503,236,165204,240
55.49,366,221,165286,310
55.51,94,145,165717,227
55.53,26,32,165754,371
55.57,278,78,165546,281
55.63,40,23,165800,320
60.29,911,156,164975,141
61.01,558,855,163225,1545
61.13,5,35,165686,457
61.31,2,10,165031,1140
61.35,1290,866,163150,877
61.37,11,34,165599,539
61.41,10,13,165882,278
61.45,181,275,164639,1088
61.49,8,39,165765,371
61.51,410,212,164813,748
61.53,247,175,164754,1007
61.57,139,68,165549,427
61.61,959,1450,162798,976
61.65,0,0,166016,167
62.01,36,76,165690,381
62.13,0,0,166026,157
62.37,4,10,165959,210
62.61,12,10,166009,152
62.99,0,5,165893,285
64.29,646,345,165102,90
65.01,191,167,165722,103
65.33,151,53,165941,38
65.59,180,124,165773,106
65.63,171,247,165670,95
67.25,0,0,165974,209
68.01,221,72,165837,53
68.03,381,218,165121,463
68.05,212,170,165707,94
68.35,636,476,164878,193
68.37,168,122,165488,405
68.47,213,61,165716,193
70.17,0,0,165962,221
70.25,1379,1053,163543,208
70.27,298,278,165297,310
73.01,143,29,165943,68
73.29,1369,565,163715,534
73.31,1459,558,163315,851
73.34,367,173,165435,208
73.37,333,70,165563,217
73.39,579,137,165181,286
73.41,254,107,165431,391
73.43,240,60,165459,424
73.47,124,204,165402,453
75.31,0,0,165926,257
76.03,649,535,164207,792
76.29,1146,616,163991,430
76.31,392,164,165130,497
76.33,5,9,165992,177
76.35,82,13,165901,187
81.33,3169,681,161686,647
81.35,1066,797,163526,794
81.79,202,79,165782,120
81.92,431,119,165441,192
81.93,179,139,165402,463
82.13,174,48,165928,33
82.15,979,461,164698,45
82.17,79,22,165989,93
87.01,0,0,165658,525
87.03,3048,2989,158386,1760
87.15,0,0,165818,365
87.17,30,50,165846,257
87.19,575,430,164255,923
87.21,176,104,165589,314
87.25,10,24,165532,617
87.26,0,0,165808,375
87.31,36,13,165999,135
87.33,46,75,165632,430
87.51,0,0,165946,237
87.53,3827,1708,158543,2105
89.01,3,4,165990,186
89.15,0,1,165823,359
89.17,53,7,165918,205
89.23,22,3,165962,196
89.25,368,273,165177,365
89.29,312,95,165607,169
89.51,906,515,164316,446
89.53,66,22,165934,161
89.57,2086,961,162513,623
90.01,58,162,165760,203
90.27,535,562,164472,614
