№,F1
06.35,0.24
06.39,0.07
06.51,0.54
06.52,0.37
06.54,0.57
06.71,0.49
06.73,0.62
06.75,0.37
15.21,0.4
15.31,0.5
15.41,0.52
15.81,0.61
19.51,0.0
20.01,0.49
20.23,0.33
20.53,0.2
27.17,0.34
27.25,0.2
27.29,0.23
27.35,0.22
27.39,0.26
27.43,0.25
27.45,0.48
27.47,0.25
28.15,0.46
28.17,0.02
28.23,0.45
28.25,0.13
29.05,0.58
29.15,0.39
29.17,0.1
29.19,0.62
29.27,0.53
29.31,0.38
29.33,0.27
29.35,0.2
29.37,0.36
30.15,0.46
30.17,0.48
30.19,0.48
30.51,0.24
31.01,0.3
31.15,0.47
31.17,0.01
31.19,0.61
31.21,0.47
31.23,0.36
31.25,0.33
34.03,0.61
34.15,0.56
34.19,0.29
34.23,0.47
34.25,0.72
34.27,0.45
34.29,0.4
34.31,0.38
34.33,0.77
34.35,0.52
34.39,0.6
34.41,0.22
34.43,0.42
34.45,0.32
34.47,0.51
34.49,0.21
36.16,0.32
36.23,0.42
36.29,0.2
37.15,0.36
37.21,0.38
37.23,0.51
37.25,0.47
37.27,0.12
37.31,0.69
38.33,0.38
38.35,0.13
38.37,0.45
38.49,0.59
38.53,0.54
38.55,0.07
38.57,0.28
38.59,0.57
38.61,0.34
38.63,0.42
39.01,0.25
39.19,0.52
39.21,0.04
39.23,0.44
39.25,0.33
41.03,0.45
41.17,0.51
41.19,0.71
41.21,0.69
41.23,0.6
41.25,0.0
41.27,0.6
41.29,0.43
41.51,0.17
44.01,0.48
44.09,0.31
44.29,0.52
44.31,0.48
44.33,0.83
44.35,0.7
44.37,0.88
44.39,0.75
44.41,0.25
45.09,0.41
45.29,0.49
45.31,0.18
45.37,0.54
45.41,0.76
45.51,0.85
45.53,0.43
47.05,0.2
47.09,0.24
47.33,0.37
47.35,0.59
47.45,0.44
47.49,0.32
47.51,0.52
49.03,0.24
49.33,0.13
49.43,0.52
49.44,0.58
50.01,0.01
50.05,0.17
50.07,0.25
50.09,0.07
50.33,0.05
50.41,0.27
50.49,0.16
52.01,0.18
52.13,0.44
52.45,0.35
52.47,0.56
53.01,0.32
53.03,0.01
53.07,0.1
53.31,0.54
53.37,0.41
53.39,0.3
53.41,0.02
53.43,0.37
53.49,0.55
55.03,0.32
55.09,0.21
55.15,0.49
55.16,0.2
55.19,0.44
55.22,0.24
55.29,0.48
55.30,0.67
55.31,0.46
55.33,0.2
55.37,0.34
55.39,0.3
55.41,0.48
55.42,0.49
55.43,0.6
55.45,0.68
55.47,0.58
55.49,0.57
55.51,0.47
55.53,0.41
55.57,0.55
55.63,0.26
60.29,0.75
61.01,0.35
61.13,0.02
61.31,0.1
61.35,0.51
61.37,0.16
61.41,0.1
61.45,0.27
61.49,0.06
61.51,0.46
61.53,0.3
61.57,0.38
61.61,0.33
61.65,0.0
62.01,0.17
62.13,0.11
62.37,0.13
62.61,0.25
62.99,0.05
64.29,0.67
65.01,0.43
65.33,0.68
65.59,0.44
65.63,0.31
67.25,0.01
68.01,0.76
68.03,0.37
68.05,0.53
68.35,0.52
68.37,0.41
68.47,0.68
70.17,0.0
70.25,0.66
70.27,0.32
73.01,0.74
73.29,0.62
73.31,0.57
73.34,0.58
73.37,0.68
73.39,0.71
73.41,0.55
73.43,0.5
73.47,0.33
75.31,0.0
76.03,0.39
76.29,0.62
76.31,0.43
76.33,0.1
76.35,0.47
81.33,0.78
81.35,0.45
81.79,0.61
81.92,0.75
81.93,0.33
82.13,0.52
82.15,0.71
82.17,0.31
87.01,0.25
87.03,0.44
87.15,0.0
87.17,0.34
87.19,0.44
87.21,0.52
87.25,0.1
87.26,0.04
87.31,0.44
87.33,0.22
87.51,0.02
87.53,0.65
89.01,0.15
89.15,0.22
89.17,0.3
89.23,0.27
89.25,0.52
89.29,0.61
89.51,0.66
89.53,0.45
89.57,0.65
90.01,0.16
90.27,0.45
