№,Precision
06.35,0.18
06.39,0.14
06.51,0.44
06.52,0.24
06.54,0.42
06.71,0.37
06.73,0.46
06.75,0.32
15.21,0.33
15.31,0.49
15.41,0.4
15.81,0.46
19.51,0.0
20.01,0.35
20.23,0.21
20.53,0.19
27.17,0.2
27.25,0.3
27.29,0.26
27.35,0.15
27.39,0.16
27.43,0.17
27.45,0.33
27.47,0.2
28.15,0.57
28.17,0.1
28.23,0.4
28.25,0.1
29.05,0.46
29.15,0.31
29.17,0.19
29.19,0.47
29.27,0.4
29.31,0.27
29.33,0.3
29.35,0.31
29.37,0.55
30.15,0.55
30.17,0.37
30.19,0.43
30.51,0.21
31.01,0.58
31.15,0.34
31.17,0.4
31.19,0.55
31.21,0.32
31.23,0.23
31.25,0.24
34.03,0.56
34.15,0.44
34.19,0.34
34.23,0.34
34.25,0.66
34.27,0.4
34.29,0.43
34.31,0.41
34.33,0.66
34.35,0.46
34.39,0.46
34.41,0.31
34.43,0.37
34.45,0.22
34.47,0.4
34.49,0.14
36.16,0.35
36.23,0.37
36.29,0.28
37.15,0.35
37.21,0.28
37.23,0.45
37.25,0.47
37.27,0.26
37.31,0.66
38.33,0.26
38.35,0.78
38.37,0.37
38.49,0.47
38.53,0.42
38.55,0.48
38.57,0.24
38.59,0.66
38.61,0.41
38.63,0.36
39.01,0.24
39.19,0.49
39.21,0.2
39.23,0.44
39.25,0.4
41.03,0.53
41.17,0.45
41.19,0.65
41.21,0.57
41.23,0.48
41.25,0.0
41.27,0.49
41.29,0.47
41.51,0.32
44.01,0.38
44.09,0.22
44.29,0.38
44.31,0.34
44.33,0.73
44.35,0.67
44.37,0.82
44.39,0.6
44.41,0.26
45.09,0.37
45.29,0.36
45.31,0.13
45.37,0.38
45.41,0.64
45.51,0.81
45.53,0.31
47.05,0.2
47.09,0.24
47.33,0.27
47.35,0.43
47.45,0.36
47.49,0.26
47.51,0.44
49.03,0.15
49.33,0.09
49.43,0.37
49.44,0.46
50.01,0.11
50.05,0.12
50.07,0.19
50.09,0.12
50.33,0.16
50.41,0.19
50.49,0.23
52.01,0.3
52.13,0.39
52.45,0.48
52.47,0.46
53.01,0.46
53.03,1.0
53.07,0.25
53.31,0.46
53.37,0.47
53.39,0.22
53.41,0.35
53.43,0.36
53.49,0.41
55.03,0.23
55.09,0.2
55.15,0.52
55.16,0.76
55.19,0.34
55.22,0.47
55.29,0.33
55.30,0.56
55.31,0.32
55.33,0.51
55.37,0.33
55.39,0.22
55.41,0.52
55.42,0.36
55.43,0.47
55.45,0.59
55.47,0.46
55.49,0.58
55.51,0.38
55.53,0.37
55.57,0.49
55.63,0.32
60.29,0.65
61.01,0.38
61.13,0.1
61.31,0.13
61.35,0.41
61.37,0.15
61.41,0.27
61.45,0.32
61.49,0.11
61.51,0.39
61.53,0.37
61.57,0.32
61.61,0.22
61.65,0.0
62.01,0.2
62.13,0.37
62.37,0.29
62.61,0.55
62.99,0.24
64.29,0.54
65.01,0.29
65.33,0.52
65.59,0.29
65.63,0.18
67.25,0.2
68.01,0.66
68.03,0.47
68.05,0.39
68.35,0.37
68.37,0.3
68.47,0.64
70.17,0.0
70.25,0.54
70.27,0.44
73.01,0.72
73.29,0.5
73.31,0.45
73.34,0.46
73.37,0.61
73.39,0.64
73.41,0.56
73.43,0.36
73.47,0.23
75.31,0.0
76.03,0.39
76.29,0.5
76.31,0.36
76.33,0.36
76.35,0.83
81.33,0.68
81.35,0.36
81.79,0.56
81.92,0.73
81.93,0.29
82.13,0.36
82.15,0.56
82.17,0.19
87.01,0.48
87.03,0.42
87.15,0.0
87.17,0.33
87.19,0.43
87.21,0.43
87.25,0.34
87.26,0.25
87.31,0.55
87.33,0.41
87.51,0.67
87.53,0.62
89.01,0.28
89.15,0.28
89.17,0.42
89.23,0.66
89.25,0.46
89.29,0.52
89.51,0.56
89.53,0.55
89.57,0.57
90.01,0.11
90.27,0.42
