№,Recall
06.35,0.36
06.39,0.04
06.51,0.69
06.52,0.75
06.54,0.9
06.71,0.71
06.73,0.92
06.75,0.44
15.21,0.52
15.31,0.5
15.41,0.73
15.81,0.92
19.51,0.0
20.01,0.83
20.23,0.82
20.53,0.2
27.17,0.96
27.25,0.15
27.29,0.21
27.35,0.46
27.39,0.78
27.43,0.47
27.45,0.93
27.47,0.31
28.15,0.38
28.17,0.01
28.23,0.51
28.25,0.21
29.05,0.81
29.15,0.54
29.17,0.06
29.19,0.94
29.27,0.75
29.31,0.65
29.33,0.25
29.35,0.15
29.37,0.27
30.15,0.4
30.17,0.7
30.19,0.56
30.51,0.28
31.01,0.2
31.15,0.77
31.17,0.01
31.19,0.67
31.21,0.95
31.23,0.81
31.25,0.53
34.03,0.66
34.15,0.77
34.19,0.26
34.23,0.75
34.25,0.79
34.27,0.52
34.29,0.38
34.31,0.35
34.33,0.92
34.35,0.59
34.39,0.88
34.41,0.18
34.43,0.49
34.45,0.55
34.47,0.7
34.49,0.39
36.16,0.3
36.23,0.49
36.29,0.16
37.15,0.37
37.21,0.56
37.23,0.58
37.25,0.48
37.27,0.08
37.31,0.73
38.33,0.7
38.35,0.07
38.37,0.57
38.49,0.81
38.53,0.74
38.55,0.04
38.57,0.34
38.59,0.5
38.61,0.29
38.63,0.52
39.01,0.25
39.19,0.56
39.21,0.02
39.23,0.45
39.25,0.28
41.03,0.39
41.17,0.58
41.19,0.77
41.21,0.86
41.23,0.79
41.25,0.0
41.27,0.77
41.29,0.39
41.51,0.11
44.01,0.66
44.09,0.52
44.29,0.85
44.31,0.79
44.33,0.96
44.35,0.72
44.37,0.96
44.39,0.98
44.41,0.24
45.09,0.47
45.29,0.76
45.31,0.26
45.37,0.95
45.41,0.94
45.51,0.9
45.53,0.69
47.05,0.21
47.09,0.24
47.33,0.6
47.35,0.93
47.45,0.59
47.49,0.4
47.51,0.62
49.03,0.54
49.33,0.25
49.43,0.88
49.44,0.81
50.01,0.0
50.05,0.29
50.07,0.37
50.09,0.05
50.33,0.03
50.41,0.49
50.49,0.12
52.01,0.13
52.13,0.51
52.45,0.28
52.47,0.73
53.01,0.24
53.03,0.01
53.07,0.07
53.31,0.66
53.37,0.35
53.39,0.51
53.41,0.01
53.43,0.39
53.49,0.82
55.03,0.55
55.09,0.23
55.15,0.47
55.16,0.11
55.19,0.65
55.22,0.16
55.29,0.86
55.30,0.84
55.31,0.79
55.33,0.13
55.37,0.35
55.39,0.46
55.41,0.44
55.42,0.77
55.43,0.84
55.45,0.79
55.47,0.78
55.49,0.56
55.51,0.61
55.53,0.45
55.57,0.65
55.63,0.22
60.29,0.89
61.01,0.33
61.13,0.01
61.31,0.08
61.35,0.69
61.37,0.17
61.41,0.06
61.45,0.23
61.49,0.04
61.51,0.55
61.53,0.26
61.57,0.46
61.61,0.68
61.65,0.0
62.01,0.14
62.13,0.06
62.37,0.08
62.61,0.16
62.99,0.03
64.29,0.88
65.01,0.82
65.33,0.97
65.59,0.92
65.63,0.97
67.25,0.0
68.01,0.89
68.03,0.31
68.05,0.83
68.35,0.87
68.37,0.65
68.47,0.71
70.17,0.0
70.25,0.85
70.27,0.25
73.01,0.76
73.29,0.81
73.31,0.76
73.34,0.76
73.37,0.76
73.39,0.78
73.41,0.54
73.43,0.83
73.47,0.57
75.31,0.0
76.03,0.39
76.29,0.82
76.31,0.53
76.33,0.05
76.35,0.32
81.33,0.9
81.35,0.62
81.79,0.67
81.92,0.78
81.93,0.38
82.13,0.98
82.15,0.96
82.17,0.91
87.01,0.17
87.03,0.45
87.15,0.0
87.17,0.34
87.19,0.45
87.21,0.66
87.25,0.06
87.26,0.02
87.31,0.37
87.33,0.15
87.51,0.01
87.53,0.68
89.01,0.11
89.15,0.18
89.17,0.24
89.23,0.17
89.25,0.61
89.29,0.74
89.51,0.79
89.53,0.38
89.57,0.76
90.01,0.35
90.27,0.49
