№,TP,FP,TN,FN
06.35,140,652,165138,253
06.39,10,61,165898,214
06.51,273,347,165441,122
06.52,431,1333,164274,145
06.54,337,473,165337,36
06.71,1048,1757,162960,418
06.73,401,465,165284,33
06.75,130,271,165619,163
15.21,165,340,165528,150
15.31,111,117,165846,109
15.41,256,385,165446,96
15.81,638,759,164727,59
19.51,0,5,165940,238
20.01,602,1115,164345,121
20.23,374,1445,164281,83
20.53,41,171,165808,163
27.17,257,1002,164913,11
27.25,30,69,165911,173
27.29,44,125,165847,167
27.35,169,977,164839,198
27.39,198,1068,164861,56
27.43,122,600,165323,138
27.45,306,626,165227,24
27.47,120,467,165329,267
28.15,73,54,165939,117
28.17,3,28,165820,332
28.23,719,1097,163672,695
28.25,66,604,165261,252
29.05,1874,2239,161621,449
29.15,1098,2444,161719,922
29.17,51,215,165172,745
29.19,7747,8790,149139,507
29.27,1463,2168,162073,479
29.31,1264,3458,160794,667
29.33,183,433,165012,555
29.35,97,218,165327,541
29.37,139,114,165546,384
30.15,151,126,165683,223
30.17,650,1128,164120,285
30.19,947,1264,163220,752
30.51,238,918,164417,610
31.01,65,48,165810,260
31.15,5712,11074,147737,1660
31.17,4,6,165507,666
31.19,1507,1217,162722,737
31.21,2408,5217,158427,131
31.23,958,3246,161752,227
31.25,1013,3187,161081,902
34.03,151,117,165838,77
34.15,1397,1813,162567,406
34.19,79,155,165726,223
34.23,1644,3182,160813,544
34.25,1373,720,163725,365
34.27,1093,1654,162438,998
34.29,359,482,164764,578
34.31,105,150,165731,197
34.33,4488,2279,159004,412
34.35,742,870,164048,523
34.39,5069,6045,154406,663
34.41,29,65,165954,135
34.43,538,924,164172,549
34.45,556,1950,163218,459
34.47,1957,2940,160431,855
34.49,389,2312,162868,614
36.16,132,246,165495,310
36.23,275,465,165162,281
36.29,36,93,165865,189
37.15,113,209,165671,190
37.21,183,463,165394,143
37.23,122,148,165826,87
37.25,130,148,165762,143
37.27,16,46,165942,179
37.31,1014,523,164264,382
38.33,318,910,164821,134
38.35,14,4,165989,176
38.37,108,181,165811,83
38.49,554,633,164866,130
