short_str	full_str
AAT	Anglo-Australian Telescope
ALMA	Atacama Large Millimeter/submillimeter Array
ATST	Advanced Technology Solar Telescope
Acanth.	Acanthocephala
Acar.	Acari
Algae	Algae
Amphib.	Amphibia
Amphip.	Amphipoda
Ann.	Annelida
Anopl.	Anoplura
Anth.	Anthozoa
Arachn.	Arachnida
Aran.	Aranei
Arth.	Arthropoda
Aves	Aves
BVDM	Bundesverband Druck und Medien
Bact.	Bacteria
Biv.	Bivalvia
Blatt.	Blattodea
Brach.	Brachiopoda
Branch.	Branchiopoda
Bry.	Bryozoa
Bryoph.	Bryophyta
CAM	(Computer-Aided Manufacturing)
CFHT	Canada-France-Hawaii Telescope
CTA	Cherenkov Telescope Array
C[m]	средняя скорость поршня
Ceph.	Cephalopoda
Cest.	Cestoda
Chaet.	Chaetognatha
Cil.	Ciliophora
Cirr.	Cirripedia
Coel.	Coelenterata
Col.	Coleoptera
Collemb.	Collembola
Cop.	Copepoda
Crust.	Crustacea
Cten.	Ctenophora
DKIST	Daniel K. Inouye Solar Telescope
Dec.	Decapoda
Derm.	Dermaptera
Dicot.	Dicotyledoneae
Dipl.	Diplura
Dipt.	Diptera
E-ELT	European Extremely Large Telescope
EHT	Event Horizon Telescope
ELT	Extremely Large Telescope
ESA	Европейское космическое агентство
ET	Einstein Telescope
Ech.	Echiurida
Echin.	Echinodermata
Emb.	Embioidea
Ephem.	Ephemeroptera
Euph.	Euphausiacea
FADEC	(Full Autority Digital Engine Control)
FAST	Five-hundred-meter Aperture Spherical Telescope
FK	фундаментальный каталог
FOGRA	Forschungsinstitut f~:ur medientechnologien e.V.
Fespa	F~1ed~1eration of European Screen Ptinters Association
Forschungsgesellschaft Druck e.V.	полиграфическое исследовательское общество
Fungi	Fungi
GBT	Green Bank Telescope либо Robert C. Byrd Green Bank Telescope
GMT	Giant Magellan Telescope
GTC	Gran Telescopio Canarias
Gastr.	Gastropoda
Grylloblatt.	Grylloblattidae
Gymn.	Gymnospermae
H.E.S.S.	High Energy Stereoscopic System
HET	Hobby
Hemichord.	Hemichordata
Het.	Heteroptera
Hir.	Hirudinea
Hom.	Homoptera
Hydr.	Hydrozoa
Hym.	Hymenoptera
ICC	International Color Consortium
IFRA	Inca Frey Research Association
IGAS	International Graphic Arts Show
IRD	Institute f~:ur rationale Unternehmensf~:urung in Druckindustrie
ISBD	International Standard Bibliographic Description
ISBN	International Standard Book Number
ISDS	International Serials Data System
ISO	International Standard Organisation
ISSN	International Standard Serials Number
Ins.	Insecta
Invert.	Invertebrata
Isop.	Isopoda
Isopt.	Isoptera
JCMT	James Clerk Maxwell Telescope
Kampt.	Kamptozoa
LAMOST	Large sky Area Multi-Object fibre Spectroscopic Telescope
LBT	Large Binocular Telescope
LOFAR	Low-Frequency Array
LSST	Large Synoptic Survey Telescope
Lep.	Lepidoptera
Lichen.	Lichenes
MAGIC	Major Atmospheric Gamma Imaging Cherenkov Telescopes
MARC	machine-readable cataloguing
MMT	Multiple Mirror Telescope
M[e]	эффективный крутящийся момент
M[j]	индикаторный крутящийся момент
Malloph.	Mallophaga
Mamm.	Mammalia
Mant.	Mantoptera
Mastig.	Mastigophora
Mecopt.	Mecoptera
Megal.	Megaloptera
Moll.	Mollusca
Monocot.	Monocotyledoneae
Monog.	Monogenea
Myr.	Myriapoda
Mys.	Mysidacea
NASA	Национальное управление по аэронавтике и исследованию космического пространства, США
NGF	фактор роста нервов
N[e]	эффективная мощность
N[j]	индикаторная мощность
N[n]	литровая мощность
N[u]	цилиндровая мощность
Nem.	Nematoda
Nemath.	Nemathelminthes
Nemert.	Nemertini
Neur.	Neuroptera
OCLC	Online Computer Library Center
OPAC	Online Public Access Catalog
Odon.	Odonata
Oligoch.	Oligochaeta
Onych.	Onychophora
Opil.	Opiliones
Opisth.	Opisthobranchia
Orth.	Orthoptera
Ostr.	Ostracoda
PSO	Process-Standard Offsetdruck
